YY MM DD hh mm WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS TIDE
yr mo dy hr mn degT m/s m/s m sec sec degT hPa degC degC degC mi ft
2014 12 31 23 50 5 7.3 9.2 3.13 10.00 7.19 320 1017.3 12.7 16.8 999.0 99.0 99.00
2015 01 01 00 50 352 7.2 8.9 2.95 10.00 6.89 318 1017.4 12.8 16.9 999.0 99.0 99.00
2015 01 01 01 50 350 5.8 7.9 2.84 10.00 6.94 321 1018.0 12.7 16.9 999.0 99.0 99.00
2015 01 01 02 50 359 4.4 6.0 2.75 10.00 7.10 315 1018.3 12.6 16.9 999.0 99.0 99.00
2015 01 01 03 50 2 5.2 6.8 2.65 10.00 7.19 320 1018.6 12.8 16.9 999.0 99.0 99.00
2015 01 01 04 50 338 4.4 5.9 2.50 10.81 7.07 318 1019.1 12.9 16.9 999.0 99.0 99.00
2015 01 01 05 50 315 3.6 5.7 2.51 10.81 7.19 326 1019.0 12.8 16.9 999.0 99.0 99.00
2015 01 01 06 50 290 4.2 5.8 2.38 10.81 7.11 316 1018.8 12.8 16.9 999.0 99.0 99.00
2015 01 01 07 50 285 5.0 7.3 2.19 10.00 7.07 318 1018.5 12.7 16.8 999.0 99.0 99.00
2015 01 01 08 50 284 5.4 7.2 2.02 9.09 6.97 320 1018.5 12.9 16.8 999.0 99.0 99.00
2015 01 01 09 50 308 5.3 6.7 1.99 10.00 7.02 307 1018.7 13.2 16.8 999.0 99.0 99.00
2015 01 01 10 50 290 4.9 6.9 2.09 10.00 7.44 318 1018.8 13.6 16.8 999.0 99.0 99.00
2015 01 01 11 50 309 4.3 6.0 99.00 99.00 99.00 999 1018.4 13.6 16.8 999.0 99.0 99.00
2015 01 01 12 50 302 4.6 6.0 2.01 9.09 7.28 311 1018.5 13.6 16.8 999.0 99.0 99.00
2015 01 01 13 50 310 3.2 4.6 2.04 9.09 7.22 314 1018.9 13.6 16.7 999.0 99.0 99.00
2015 01 01 14 50 308 1.8 3.0 1.75 10.00 7.15 304 1019.3 13.5 16.7 999.0 99.0 99.00
2015 01 01 15 50 273 2.4 3.4 1.86 9.09 7.13 312 1020.1 13.7 16.6 999.0 99.0 99.00
2015 01 01 16 50 309 1.7 2.9 1.74 9.09 6.85 317 1020.8 13.8 16.6 999.0 99.0 99.00
