YY MM DD hh WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS TIDE
2003 01 01 00 301 7.1 8.8 2.27 12.50 8.89 999 1020.6 14.3 14.4 999.0 99.0 99.00
2003 01 01 01 311 8.4 9.8 99.00 99.00 99.00 999 1020.5 14.2 14.4 999.0 99.0 99.00
2003 01 01 02 319 10.8 13.2 2.53 11.11 7.68 999 1020.7 14.1 14.3 999.0 99.0 99.00
2003 01 01 03 313 10.5 12.7 2.65 12.50 7.28 999 1020.7 14.0 14.3 999.0 99.0 99.00
2003 01 01 04 305 10.3 13.0 3.13 12.50 7.88 999 1021.0 14.1 14.3 999.0 99.0 99.00
2003 01 01 05 321 11.8 14.5 3.25 12.50 7.56 999 1021.3 14.1 14.3 999.0 99.0 99.00
2003 01 01 06 316 11.0 13.0 99.00 99.00 99.00 999 1021.3 14.0 14.3 999.0 99.0 99.00
2003 01 01 07 316 10.7 13.3 3.47 14.29 7.55 999 1021.2 14.0 14.3 999.0 99.0 99.00
2003 01 01 08 314 11.3 14.1 3.53 14.29 7.54 999 1020.6 13.9 14.2 999.0 99.0 99.00
2003 01 01 09 321 11.5 14.1 3.89 14.29 7.93 999 1020.3 13.9 14.2 999.0 99.0 99.00
2003 01 01 10 325 9.7 12.7 4.28 14.29 8.56 999 1020.5 13.9 14.2 999.0 99.0 99.00
2003 01 01 11 346 9.8 12.2 4.21 12.50 8.01 999 1020.4 13.9 14.2 999.0 99.0 99.00
2003 01 01 12 338 10.5 13.0 4.09 14.29 8.28 999 1020.1 14.0 14.2 999.0 99.0 99.00
2003 01 01 13 334 9.6 11.5 3.91 14.29 8.10 999 1020.1 13.9 14.2 999.0 99.0 99.00
2003 01 01 14 330 8.8 11.1 3.95 12.50 8.35 999 1020.4 13.8 14.2 999.0 99.0 99.00
2003 01 01 15 332 8.6 10.5 4.20 12.50 8.64 999 1020.4 13.8 14.2 999.0 99.0 99.00
2003 01 01 16 333 7.8 9.5 3.43 12.50 7.96 999 1020.9 13.8 14.2 999.0 99.0 99.00
2003 01 01 17 336 6.2 7.7 4.03 12.50 8.69 999 1021.4 13.9 14.2 999.0 99.0 99.00
2003 01 01 18 346 5.7 6.9 4.12 12.50 9.04 999 1021.7 14.1 14.2 999.0 99.0 99.00
2003 01 01 19 4 5.5 6.4 99.00 99.00 99.00 999 1021.1 14.3 14.2 999.0 99.0 99.00
2003 01 01 20 2 5.3 6.5 4.08 14.29 9.09 999 1020.0 14.5 14.2 999.0 99.0 99.00
2003 01 01 21 360 4.9 6.0 4.39 16.67 9.84 999 1019.2 14.4 14.3 999.0 99.0 99.00
2003 01 01 22 349 3.9 5.4 4.41 14.29 10.00 999 1018.9 14.5 14.3 999.0 99.0 99.00
2003 01 01 23 352 3.5 5.0 4.51 14.29 10.31 999 1019.1 14.7 14.4 999.0 99.0 99.00
2003 01 02 00 336 3.9 5.3 4.23 16.67 10.57 999 1019.4 14.8 14.4 999.0 99.0 99.00
2003 01 02 01 348 4.0 5.8 4.83 14.29 11.57 999 1019.5 14.6 14.4 999.0 99.0 99.00
2003 01 02 02 342 3.6 4.9 4.40 14.29 11.08 999 1019.3 14.5 14.3 999.0 99.0 99.00
2003 01 02 03 330 4.4 5.7 4.45 14.29 10.97 999 1019.7 14.4 14.3 999.0 99.0 99.00
2003 01 02 04 337 4.5 6.2 4.61 14.29 11.38 999 1020.0 14.4 14.3 999.0 99.0 99.00
2003 01 02 05 332 4.7 6.2 4.41 14.29 11.27 999 1020.3 14.5 14.3 999.0 99.0 99.00
2003 01 02 06 338 4.9 6.2 4.42 14.29 10.91 999 1020.1 14.5 14.2 999.0 99.0 99.00
2003 01 02 07 336 5.1 7.1 3.96 16.67 11.04 999 1020.0 14.4 14.2 999.0 99.0 99.00
2003 01 02 08 330 4.6 5.8 3.87 16.67 11.14 999 1019.8 14.4 14.2 999.0 99.0 99.00
2003 01 02 09 337 5.1 6.1 3.63 16.67 10.74 999 1019.7 14.4 14.2 999.0 99.0 99.00
2003 01 02 10 343 3.9 4.9 99.00 99.00 99.00 999 1019.5 14.5 14.2 999.0 99.0 99.00
2003 01 02 11 351 4.2 5.2 3.22 16.67 10.49 999 1019.2 14.5 14.2 999.0 99.0 99.00
2003 01 02 12 344 4.4 5.5 3.40 16.67 10.97 999 1019.6 14.8 14.2 999.0 99.0 99.00
2003 01 02 13 354 2.9 4.0 3.37 16.67 11.25 999 1019.6 14.7 14.2 999.0 99.0 99.00
2003 01 02 14 315 3.0 4.5 3.47 16.67 11.39 999 1019.7 14.4 14.2 999.0 99.0 99.00
2003 01 02 15 317 4.0 5.4 3.18 14.29 10.86 999 1020.1 14.5 14.2 999.0 99.0 99.00
2003 01 02 16 343 3.5 4.6 2.93 16.67 10.40 999 1020.6 14.7 14.2 999.0 99.0 99.00
2003 01 02 17 337 2.3 3.2 3.04 16.67 10.59 999 1021.0 14.9 14.2 999.0 99.0 99.00
2003 01 02 18 330 2.4 3.8 3.31 14.29 10.83 999 1021.3 14.9 14.2 999.0 99.0 99.00
2003 01 02 19 333 2.7 3.9 99.00 99.00 99.00 999 1020.4 14.8 14.3 999.0 99.0 99.00
2003 01 02 20 341 3.8 5.4 3.39 16.67 10.48 999 1019.3 14.9 14.4 999.0 99.0 99.00
2003 01 02 21 352 2.5 3.4 3.05 14.29 10.23 999 1018.4 15.4 14.4 999.0 99.0 99.00
2003 01 02 22 313 3.1 4.0 2.53 14.29 9.65 999 1018.3 15.2 14.6 999.0 99.0 99.00
2003 01 02 23 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2003 01 03 00 321 4.0 5.2 2.79 14.29 10.75 999 1018.4 15.3 14.6 999.0 99.0 99.00
2003 01 03 01 325 3.7 4.5 2.34 14.29 10.47 999 1018.3 15.4 14.5 999.0 99.0 99.00
2003 01 03 02 324 5.9 7.1 2.14 14.29 9.79 999 1018.3 15.2 14.5 999.0 99.0 99.00
2003 01 03 03 329 5.4 6.5 2.44 14.29 10.53 999 1018.3 15.1 14.4 999.0 99.0 99.00
2003 01 03 04 325 5.3 6.3 2.48 12.50 10.23 999 1018.2 14.9 14.3 999.0 99.0 99.00
2003 01 03 05 319 5.0 6.2 2.67 16.67 10.72 999 1018.9 15.1 14.3 999.0 99.0 99.00
2003 01 03 06 318 6.3 7.4 2.48 16.67 10.60 999 1019.0 15.1 14.3 999.0 99.0 99.00
2003 01 03 07 329 6.3 7.6 2.61 16.67 9.85 999 1019.0 15.2 14.3 999.0 99.0 99.00
2003 01 03 08 332 7.5 8.9 2.27 14.29 8.62 999 1018.7 15.1 14.3 999.0 99.0 99.00
2003 01 03 09 337 6.1 7.3 99.00 99.00 99.00 999 1018.8 15.0 14.2 999.0 99.0 99.00
2003 01 03 10 334 3.3 4.3 2.27 16.67 8.88 999 1018.6 14.7 14.2 999.0 99.0 99.00
2003 01 03 11 322 5.4 6.2 2.32 14.29 9.14 999 1018.5 14.7 14.2 999.0 99.0 99.00
2003 01 03 12 340 5.6 7.0 2.41 16.67 9.53 999 1018.5 14.7 14.2 999.0 99.0 99.00
2003 01 03 13 8 3.0 3.5 2.02 14.29 8.71 999 1018.1 14.6 14.2 999.0 99.0 99.00
2003 01 03 14 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2003 01 03 15 279 0.5 1.3 2.71 16.67 10.57 999 1017.7 14.2 14.2 999.0 99.0 99.00
2003 01 03 16 288 0.5 1.7 2.81 14.29 10.51 999 1018.4 14.4 14.2 999.0 99.0 99.00
