YY MM DD hh WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS
1993 01 01 01 312 10.3 12.6 02.50 11.10 06.60 311 1018.7 13.8 15.0 999.0 31.1
1993 01 01 02 315 10.2 12.7 02.40 12.50 06.50 309 1018.6 13.9 15.0 999.0 30.9
1993 01 01 03 311 09.9 12.0 99.00 99.00 99.00 999 1018.5 13.9 15.0 999.0 99.0
1993 01 01 04 313 07.9 09.2 99.00 99.00 99.00 999 1018.0 13.9 15.0 999.0 99.0
1993 01 01 05 303 08.1 09.5 02.10 12.50 06.40 303 1018.2 13.7 15.0 999.0 30.3
1993 01 01 06 297 08.3 10.2 02.00 12.50 06.30 299 1018.5 13.7 15.0 999.0 29.9
1993 01 01 07 306 07.4 08.8 01.80 12.50 06.30 288 1018.2 13.7 14.9 999.0 28.8
1993 01 01 08 308 09.0 10.3 02.00 12.50 06.20 296 1018.2 13.9 999.0 999.0 29.6
1993 01 01 09 313 08.4 09.7 01.90 12.50 06.20 283 1017.8 13.8 14.9 999.0 28.3
1993 01 01 10 317 08.6 10.3 01.80 12.50 06.10 287 1017.5 13.8 14.9 999.0 28.7
1993 01 01 11 319 07.4 08.8 01.80 14.30 06.10 264 1017.0 13.8 14.9 999.0 26.4
1993 01 01 12 315 06.8 08.4 01.70 12.50 06.10 297 1016.8 13.8 14.9 999.0 29.7
1993 01 01 13 311 07.6 08.8 01.60 11.10 06.20 305 1016.5 13.9 14.9 999.0 30.5
1993 01 01 14 310 07.4 08.9 01.60 12.50 06.30 284 1016.8 14.0 14.9 999.0 28.4
1993 01 01 15 308 08.1 09.5 01.70 12.50 06.40 307 1017.5 14.1 14.9 999.0 30.7
1993 01 01 16 304 06.7 07.9 01.70 12.50 06.90 296 1018.2 14.2 15.0 999.0 29.6
1993 01 01 17 300 06.7 07.7 01.70 12.50 07.00 308 1018.6 14.3 15.0 999.0 30.8
1993 01 01 18 291 05.0 06.0 01.70 11.10 07.30 309 1019.0 14.6 15.0 999.0 30.9
1993 01 01 19 296 04.9 05.8 01.70 11.10 07.40 302 1018.8 14.6 15.0 999.0 30.2
1993 01 01 20 296 03.8 04.5 01.80 11.10 07.60 306 1017.8 14.5 15.1 999.0 30.6
1993 01 01 21 290 04.4 05.1 01.80 10.00 08.00 305 1017.3 14.5 15.1 999.0 30.5
1993 01 01 22 274 03.3 04.1 01.60 10.00 07.80 298 1016.7 14.4 15.1 999.0 29.8
1993 01 01 23 257 04.1 04.8 01.80 10.00 08.60 295 1016.8 14.4 15.1 999.0 29.5
1993 01 02 00 224 02.9 03.6 01.70 11.10 08.50 298 1016.1 14.5 15.0 999.0 29.8
1993 01 02 01 236 03.1 03.8 01.70 10.00 08.30 296 1016.3 14.5 15.0 999.0 29.6
1993 01 02 02 219 05.9 06.9 01.70 10.00 08.20 295 1016.6 14.6 15.0 999.0 29.5
1993 01 02 03 227 05.3 06.2 01.70 10.00 08.20 308 1016.5 14.7 14.9 999.0 30.8
1993 01 02 04 218 06.0 06.9 01.60 11.10 08.00 302 1016.6 14.7 14.9 999.0 30.2
1993 01 02 05 212 05.4 06.4 01.60 10.00 08.00 303 1016.7 14.8 14.9 999.0 30.3
1993 01 02 06 211 06.1 06.9 01.40 12.50 07.30 284 1016.4 14.8 14.9 999.0 28.4
1993 01 02 07 215 07.6 08.9 99.00 99.00 99.00 999 1016.3 14.8 14.9 999.0 99.0
1993 01 02 08 219 08.1 09.4 99.00 99.00 99.00 999 1016.0 14.7 14.9 999.0 99.0
1993 01 02 09 214 07.7 09.2 01.60 10.00 06.50 286 1015.6 14.8 14.9 999.0 28.6
1993 01 02 10 230 07.3 08.4 99.00 99.00 99.00 999 1015.3 14.8 14.9 999.0 99.0
1993 01 02 11 327 06.8 08.4 01.70 09.10 06.90 283 1015.5 12.6 14.9 999.0 28.3
1993 01 02 12 327 07.3 09.0 01.70 10.00 06.40 297 1015.2 12.2 14.9 999.0 29.7
1993 01 02 13 334 09.7 11.8 01.90 10.00 06.30 302 1015.4 11.8 14.9 999.0 30.2
1993 01 02 14 330 08.1 09.6 01.70 10.00 05.70 298 1016.1 12.5 14.9 999.0 29.8
1993 01 02 15 322 09.6 11.5 02.00 12.50 05.90 283 1016.6 12.7 14.9 999.0 28.3
1993 01 02 16 323 09.8 12.2 02.00 14.30 06.00 298 1017.3 12.6 14.9 999.0 29.8
1993 01 02 17 319 10.6 12.4 02.00 06.20 05.90 308 1018.1 12.7 14.9 999.0 30.8
1993 01 02 18 312 10.4 12.8 02.10 14.30 06.30 296 1018.6 12.5 14.9 999.0 29.6
1993 01 02 19 319 10.2 11.8 02.10 06.20 06.00 316 1018.6 12.6 14.9 999.0 31.6
1993 01 02 20 319 10.7 13.3 02.30 07.10 06.20 310 1017.7 12.3 15.0 999.0 31.0
1993 01 02 21 312 10.5 13.1 02.50 07.10 06.20 314 1017.0 12.3 15.0 999.0 31.4
1993 01 02 22 316 11.2 13.1 02.70 07.10 06.20 314 1016.9 12.3 15.1 999.0 31.4
1993 01 02 23 300 11.9 14.7 02.50 07.70 06.10 314 1017.0 12.1 15.1 999.0 31.4
1993 01 03 00 310 10.8 13.6 02.60 07.70 06.10 311 1017.2 12.2 15.1 999.0 31.1
1993 01 03 01 314 11.2 13.6 02.40 08.30 06.20 305 1017.2 12.0 15.0 999.0 30.5
1993 01 03 02 323 11.1 13.7 02.60 08.30 06.40 307 1017.1 12.0 15.0 999.0 30.7
1993 01 03 03 312 11.9 14.5 02.80 07.70 06.20 315 1017.4 12.2 15.0 999.0 31.5
1993 01 03 04 320 11.4 13.2 02.70 07.70 06.30 311 1017.6 12.3 15.0 999.0 31.1
1993 01 03 05 316 11.9 14.4 02.80 08.30 06.30 308 1018.1 12.2 15.0 999.0 30.8
1993 01 03 06 324 11.9 15.4 02.80 07.70 06.40 311 1018.2 12.3 15.0 999.0 31.1
1993 01 03 07 321 12.3 15.0 02.80 08.30 06.20 313 1018.3 12.1 15.0 999.0 31.3
1993 01 03 08 312 14.1 16.8 99.00 99.00 99.00 999 1017.8 12.1 15.0 999.0 99.0
1993 01 03 09 315 12.1 15.1 02.60 08.30 06.00 302 1018.1 11.8 15.0 999.0 30.2
1993 01 03 10 319 10.8 13.4 02.70 07.70 06.00 305 1018.3 11.8 15.0 999.0 30.5
1993 01 03 11 315 10.9 13.0 02.60 07.70 06.10 301 1018.1 11.7 15.0 999.0 30.1
1993 01 03 12 315 10.4 12.1 02.70 08.30 06.50 305 1017.7 11.8 15.0 999.0 30.5
1993 01 03 13 324 10.4 13.0 02.50 08.30 06.30 309 1017.8 11.4 15.0 999.0 30.9
1993 01 03 14 312 09.9 12.6 02.50 08.30 06.40 315 1018.2 11.3 14.9 999.0 31.5
1993 01 03 15 315 08.5 12.2 02.50 08.30 06.50 313 1018.8 11.1 14.9 999.0 31.3
1993 01 03 16 300 08.9 11.6 02.40 08.30 06.60 312 1019.6 11.3 14.9 999.0 31.2
1993 01 03 17 330 06.0 07.4 02.30 08.30 06.80 307 1020.1 11.2 14.9 999.0 30.7
1993 01 03 18 015 06.4 08.0 02.40 08.30 06.80 309 1021.0 11.8 14.9 999.0 30.9
1993 01 03 19 001 05.2 07.2 02.10 07.10 06.70 307 1021.1 12.0 15.0 999.0 30.7
1993 01 03 20 008 05.6 07.3 02.10 08.30 06.90 301 1020.2 12.3 15.0 999.0 30.1
1993 01 03 21 007 05.9 07.2 02.10 08.30 06.80 301 1019.8 12.4 15.0 999.0 30.1
1993 01 03 22 019 05.9 07.3 02.00 08.30 06.70 299 1019.5 12.7 15.0 999.0 29.9
1993 01 03 23 038 05.6 07.6 01.60 08.30 06.50 302 1019.2 12.9 15.0 999.0 30.2
1993 01 04 00 045 04.7 06.8 01.90 08.30 06.80 302 1019.6 12.9 15.0 999.0 30.2
1993 01 04 01 041 05.3 06.8 99.00 99.00 99.00 999 1019.4 12.6 15.0 999.0 99.0
1993 01 04 02 031 04.5 06.7 01.80 07.70 06.50 309 1020.3 12.6 15.0 999.0 30.9
1993 01 04 03 019 02.7 04.0 01.60 11.10 06.50 297 1020.7 12.6 14.9 999.0 29.7
1993 01 04 04 027 03.1 04.3 01.60 07.70 06.30 311 1021.0 12.6 14.9 999.0 31.1
1993 01 04 05 042 02.4 03.4 01.40 07.70 06.40 312 1021.4 12.6 14.9 999.0 31.2
1993 01 04 06 122 01.9 02.7 01.40 07.70 06.30 307 1021.6 12.6 14.9 999.0 30.7
1993 01 04 07 053 02.3 03.1 01.20 07.10 06.50 303 1021.3 12.6 14.9 999.0 30.3
1993 01 04 08 036 02.5 03.4 01.20 07.10 06.50 310 1021.5 12.6 14.9 999.0 31.0
1993 01 04 09 040 02.9 03.7 01.30 07.70 06.70 303 1020.5 12.5 14.9 999.0 30.3
1993 01 04 10 028 03.2 04.0 01.10 11.10 06.60 287 1019.9 12.4 14.9 999.0 28.7
1993 01 04 11 053 03.5 04.6 01.20 10.00 06.70 296 1019.1 12.3 14.9 999.0 29.6
1993 01 04 12 047 03.3 04.5 01.10 06.70 06.80 301 1018.7 12.4 14.9 999.0 30.1
1993 01 04 13 069 03.4 04.9 01.10 08.30 07.10 310 1018.7 12.5 14.8 999.0 31.0
1993 01 04 14 074 02.8 03.8 01.10 10.00 07.40 301 1019.6 12.7 14.8 999.0 30.1
1993 01 04 15 118 00.6 01.1 01.20 12.50 07.30 298 1020.1 12.7 14.8 999.0 29.8
1993 01 04 16 999 99.0 99.0 01.10 12.50 07.30 287 9999.0 999.0 999.0 999.0 28.7
1993 01 04 17 068 03.8 04.9 01.20 12.50 07.50 303 1019.7 13.3 14.9 999.0 30.3
1993 01 04 18 095 03.7 04.9 01.10 12.50 07.20 302 1020.1 13.5 14.9 999.0 30.2
1993 01 04 19 105 03.2 04.8 01.00 09.10 07.10 301 1019.8 13.7 14.9 999.0 30.1
1993 01 04 20 135 01.4 01.9 01.10 12.50 07.20 303 1019.6 13.7 15.0 999.0 30.3
1993 01 04 21 132 02.6 04.2 01.00 12.50 07.00 292 1018.2 13.7 14.9 999.0 29.2
1993 01 04 22 109 02.0 02.7 01.00 12.50 07.40 298 1017.5 13.6 14.9 999.0 29.8
1993 01 04 23 109 01.8 02.8 01.00 12.50 06.90 287 1017.1 13.6 14.9 999.0 28.7
1993 01 05 00 087 02.3 03.3 01.00 09.10 06.60 301 1016.8 13.5 14.9 999.0 30.1
1993 01 05 01 091 02.4 03.8 99.00 99.00 99.00 999 1016.7 13.5 14.9 999.0 99.0
1993 01 05 02 099 01.4 02.0 01.10 12.50 06.70 309 1016.8 13.5 14.9 999.0 30.9
1993 01 05 03 051 02.3 03.5 99.00 99.00 99.00 999 1016.6 13.5 14.9 999.0 99.0
1993 01 05 04 083 01.0 01.8 99.00 99.00 99.00 999 1016.9 13.5 14.9 999.0 99.0
1993 01 05 05 165 00.9 01.3 01.10 12.50 07.20 287 1016.9 13.4 14.9 999.0 28.7
1993 01 05 06 196 02.8 03.9 01.10 10.00 07.60 307 1017.0 13.3 14.9 999.0 30.7
1993 01 05 07 157 03.7 04.7 01.00 10.00 07.20 311 1016.5 13.2 14.8 999.0 31.1
1993 01 05 08 153 03.6 04.7 01.00 12.50 07.80 294 1016.5 13.3 14.8 999.0 29.4
1993 01 05 09 133 03.9 05.0 01.00 11.10 07.90 297 1016.1 13.3 14.8 999.0 29.7
1993 01 05 10 124 02.9 04.0 99.00 99.00 99.00 999 1015.8 13.3 14.8 999.0 99.0
1993 01 05 11 115 03.7 04.8 00.90 11.10 07.60 288 1015.2 13.4 14.8 999.0 28.8
1993 01 05 12 109 05.0 05.9 00.80 11.10 07.30 282 1014.7 13.5 14.8 999.0 28.2
1993 01 05 13 123 06.9 08.0 99.00 99.00 99.00 999 1014.0 13.7 14.9 999.0 99.0
1993 01 05 14 120 07.3 08.7 01.00 10.00 05.60 302 1013.9 13.8 14.9 999.0 30.2
1993 01 05 15 117 07.3 08.4 01.00 09.10 05.10 303 1013.9 13.9 14.9 999.0 30.3
1993 01 05 16 116 06.3 07.3 01.00 11.10 05.50 293 1013.7 14.0 14.8 999.0 29.3
1993 01 05 17 093 07.1 08.2 01.00 12.50 05.30 245 1013.6 14.3 14.8 999.0 24.5
1993 01 05 18 108 08.1 10.2 01.00 12.50 05.10 278 1013.8 14.3 14.9 999.0 27.8
1993 01 05 19 114 09.0 10.8 01.00 10.00 04.80 305 1013.5 14.6 14.9 999.0 30.5
1993 01 05 20 115 08.7 10.5 01.10 12.50 04.70 240 1012.9 14.5 14.9 999.0 24.0
1993 01 05 21 122 09.8 11.9 01.20 04.50 04.70 134 1011.8 14.5 14.9 999.0 13.4
1993 01 05 22 118 09.7 11.4 01.30 05.00 04.80 143 1011.4 14.5 14.9 999.0 14.3
1993 01 05 23 119 10.2 12.0 01.40 05.30 05.00 138 1010.9 14.6 14.9 999.0 13.8
1993 01 06 00 099 09.6 11.0 01.40 05.30 05.20 134 1010.2 14.5 14.9 999.0 13.4
1993 01 06 01 097 10.0 11.8 01.40 05.00 05.00 129 1009.8 14.5 14.8 999.0 12.9
1993 01 06 02 093 11.1 13.5 01.50 05.00 05.10 126 1009.3 14.7 14.8 999.0 12.6
1993 01 06 03 084 11.1 13.1 01.60 12.50 05.20 290 1009.3 14.6 14.8 999.0 29.0
1993 01 06 04 084 11.2 13.3 01.80 12.50 05.20 305 1009.3 14.4 14.8 999.0 30.5
1993 01 06 05 080 12.2 13.9 01.90 12.50 05.30 313 1008.8 13.9 14.8 999.0 31.3
1993 01 06 06 089 12.2 14.3 02.00 05.90 05.50 156 1008.5 14.0 14.8 999.0 15.6
1993 01 06 07 086 12.1 14.0 99.00 99.00 99.00 999 1007.4 14.7 14.8 999.0 99.0
1993 01 06 08 072 14.3 17.3 99.00 99.00 99.00 999 1006.6 13.4 14.8 999.0 99.0
1993 01 06 09 057 13.5 17.5 02.60 05.90 05.70 111 1005.7 12.8 14.7 999.0 11.1
1993 01 06 10 061 13.3 16.5 02.80 06.70 05.70 119 1005.1 13.1 14.7 999.0 11.9
1993 01 06 11 056 12.1 14.4 02.70 06.70 05.70 118 1004.8 13.4 14.7 999.0 11.8
1993 01 06 12 039 08.9 10.5 99.00 99.00 99.00 999 1004.7 13.3 14.7 999.0 99.0
1993 01 06 13 023 07.2 08.5 03.10 06.70 06.50 100 1005.2 13.2 14.6 999.0 10.0
