YY MM DD hh mm WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS TIDE
yr mo dy hr mn degT m/s m/s m sec sec degT hPa degC degC degC mi ft
2017 12 31 23 50 999 99.0 99.0 0.94 12.12 7.68 283 1018.5 15.0 16.1 999.0 99.0 99.00
2018 01 01 00 50 999 99.0 99.0 0.95 12.12 7.79 284 1018.8 15.0 16.0 999.0 99.0 99.00
2018 01 01 01 50 999 99.0 99.0 0.81 12.12 7.12 273 1019.4 15.0 15.9 999.0 99.0 99.00
2018 01 01 02 50 999 99.0 99.0 0.89 11.43 7.24 313 1019.7 14.9 15.9 999.0 99.0 99.00
2018 01 01 03 50 999 99.0 99.0 0.91 11.43 7.56 302 1019.9 14.9 15.9 999.0 99.0 99.00
2018 01 01 04 50 999 99.0 99.0 0.79 11.43 6.72 306 1020.3 14.8 15.9 999.0 99.0 99.00
2018 01 01 05 50 999 99.0 99.0 0.90 11.43 7.23 311 1020.9 14.7 15.9 999.0 99.0 99.00
2018 01 01 06 50 999 99.0 99.0 0.85 10.81 7.30 302 1021.0 14.7 15.9 999.0 99.0 99.00
2018 01 01 07 50 999 99.0 99.0 0.84 10.81 7.11 309 1021.0 14.6 15.9 999.0 99.0 99.00
2018 01 01 08 50 999 99.0 99.0 0.85 10.81 7.25 299 1020.9 14.5 15.9 999.0 99.0 99.00
2018 01 01 09 50 999 99.0 99.0 0.87 10.81 7.75 300 1021.2 14.3 15.9 999.0 99.0 99.00
2018 01 01 10 50 999 99.0 99.0 0.73 10.00 7.02 312 1021.1 14.6 15.9 999.0 99.0 99.00
2018 01 01 11 50 999 99.0 99.0 0.79 11.43 7.33 297 1020.3 14.4 15.9 999.0 99.0 99.00
2018 01 01 12 50 999 99.0 99.0 0.75 10.81 7.02 300 1020.3 14.4 15.9 999.0 99.0 99.00
2018 01 01 13 50 999 99.0 99.0 0.72 10.81 6.94 299 1020.4 14.3 15.9 999.0 99.0 99.00
2018 01 01 14 50 999 99.0 99.0 0.75 10.00 7.20 297 1021.0 14.2 15.9 999.0 99.0 99.00
