YY MM DD hh mm WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS TIDE
yr mo dy hr mn degT m/s m/s m sec sec degT hPa degC degC degC mi ft
2016 12 31 23 50 326 7.2 9.4 1.75 12.90 6.17 324 1013.0 12.4 16.6 999.0 99.0 99.00
2017 01 01 00 50 314 9.3 11.7 1.81 13.79 6.03 309 1012.8 12.5 16.5 999.0 99.0 99.00
2017 01 01 01 50 304 6.0 7.6 1.89 13.79 6.38 302 1013.1 12.6 16.4 999.0 99.0 99.00
2017 01 01 02 50 291 8.1 10.3 1.66 13.79 6.08 322 1013.2 12.7 16.0 999.0 99.0 99.00
2017 01 01 03 50 309 7.3 9.2 1.90 13.79 6.72 320 1013.1 12.9 16.0 999.0 99.0 99.00
2017 01 01 04 50 304 7.7 10.0 1.77 12.90 6.32 311 1012.8 13.1 16.0 999.0 99.0 99.00
2017 01 01 05 50 315 7.3 9.0 1.84 12.12 6.71 319 1013.1 12.9 16.0 999.0 99.0 99.00
2017 01 01 06 50 289 6.3 8.3 1.80 13.79 6.70 330 1013.3 13.2 16.0 999.0 99.0 99.00
2017 01 01 07 50 280 6.0 8.2 1.78 13.79 6.39 324 1013.4 10.9 16.0 999.0 99.0 99.00
2017 01 01 08 50 305 4.7 6.4 1.82 12.12 6.92 305 1012.8 11.7 15.9 999.0 99.0 99.00
2017 01 01 09 50 323 5.8 7.5 2.12 12.12 7.73 321 1012.9 12.4 15.9 999.0 99.0 99.00
2017 01 01 10 50 327 7.4 8.9 1.93 12.12 7.16 325 1012.7 12.6 15.8 999.0 99.0 99.00
2017 01 01 11 50 326 8.3 10.3 2.21 11.43 7.37 324 1012.8 12.5 15.7 999.0 99.0 99.00
2017 01 01 12 50 316 8.9 11.5 2.06 12.12 6.83 322 1013.0 12.8 15.7 999.0 99.0 99.00
2017 01 01 13 50 322 9.5 12.3 2.20 12.90 6.42 337 1013.5 12.9 15.7 999.0 99.0 99.00
2017 01 01 14 50 326 10.4 12.8 2.41 12.12 6.27 325 1013.3 12.8 15.7 999.0 99.0 99.00
2017 01 01 15 50 319 10.8 13.2 2.51 12.90 6.57 322 1013.9 13.0 15.7 999.0 99.0 99.00
2017 01 01 16 50 318 8.7 11.1 2.81 12.12 6.52 323 1014.5 13.2 15.7 999.0 99.0 99.00
2017 01 01 17 50 312 7.4 9.3 2.81 11.43 6.63 320 1014.7 13.5 15.7 999.0 99.0 99.00
2017 01 01 18 50 302 7.4 9.2 2.64 12.90 6.71 319 1015.1 13.6 15.7 999.0 99.0 99.00
2017 01 01 19 50 308 8.3 9.6 2.75 12.90 6.57 318 1014.6 13.7 15.7 999.0 99.0 99.00
2017 01 01 20 50 311 9.2 11.0 2.50 12.90 6.53 320 1014.8 13.8 15.7 999.0 99.0 99.00
2017 01 01 21 50 309 9.0 11.1 2.68 10.81 6.49 323 1014.0 14.1 15.8 999.0 99.0 99.00
2017 01 01 22 50 308 9.5 11.4 2.49 12.90 6.21 330 1014.3 13.6 15.8 999.0 99.0 99.00
2017 01 01 23 50 316 8.6 10.9 2.47 7.69 6.07 332 1014.9 13.8 15.8 999.0 99.0 99.00
2017 01 02 00 50 314 7.6 9.3 2.43 10.00 6.01 308 1014.9 13.7 15.8 999.0 99.0 99.00
2017 01 02 01 50 299 9.6 11.7 2.34 12.12 6.14 309 1015.5 13.7 15.8 999.0 99.0 99.00
2017 01 02 02 50 317 6.6 8.0 2.38 11.43 6.14 308 1015.9 13.6 15.8 999.0 99.0 99.00
2017 01 02 03 50 298 7.0 8.7 2.27 11.43 6.30 323 1016.6 13.8 15.8 999.0 99.0 99.00
2017 01 02 04 50 314 7.4 9.3 2.17 11.43 6.32 319 1016.8 13.7 15.8 999.0 99.0 99.00
2017 01 02 05 50 315 6.2 8.5 2.17 11.43 6.53 318 1017.0 13.3 15.8 999.0 99.0 99.00
2017 01 02 06 50 300 5.7 7.6 2.05 10.81 6.32 322 1017.4 13.5 15.8 999.0 99.0 99.00
2017 01 02 07 50 318 5.5 7.1 1.99 10.00 6.55 324 1017.3 13.0 15.7 999.0 99.0 99.00
2017 01 02 08 50 312 3.9 5.3 2.08 10.81 6.56 324 1016.8 12.6 15.7 999.0 99.0 99.00
2017 01 02 09 50 317 6.5 7.8 1.96 11.43 6.74 320 1016.8 12.4 15.7 999.0 99.0 99.00
2017 01 02 10 50 301 2.6 3.5 1.95 10.81 6.59 323 1017.1 12.3 15.7 999.0 99.0 99.00
2017 01 02 11 50 318 4.6 5.7 1.80 10.00 6.74 332 1017.3 12.3 15.7 999.0 99.0 99.00
2017 01 02 12 50 308 5.0 5.9 1.71 10.81 6.68 319 1016.8 12.5 15.7 999.0 99.0 99.00
2017 01 02 13 50 340 1.0 1.9 1.72 11.43 6.66 319 1017.3 11.4 15.7 999.0 99.0 99.00
2017 01 02 14 50 330 3.8 4.8 1.57 11.43 6.42 321 1017.8 12.3 15.7 999.0 99.0 99.00
2017 01 02 15 50 342 3.1 3.8 1.46 10.81 6.18 331 1018.5 12.5 15.7 999.0 99.0 99.00
2017 01 02 16 50 330 2.2 3.3 1.44 12.12 6.45 292 1019.2 12.9 15.8 999.0 99.0 99.00
2017 01 02 17 50 314 1.4 2.7 1.55 10.00 7.00 314 1019.7 13.2 15.8 999.0 99.0 99.00
2017 01 02 18 50 253 0.6 1.1 1.35 10.00 6.58 294 1019.5 13.5 15.8 999.0 99.0 99.00
2017 01 02 19 50 310 0.7 1.1 1.37 12.12 6.98 277 1019.0 13.5 15.9 999.0 99.0 99.00
2017 01 02 20 50 172 1.9 2.6 1.36 16.00 7.08 276 1018.4 13.5 15.9 999.0 99.0 99.00
2017 01 02 21 50 159 1.4 2.2 1.39 10.81 7.29 303 1018.1 13.5 16.0 999.0 99.0 99.00
2017 01 02 22 50 167 1.1 2.2 1.45 16.00 7.91 281 1018.4 13.8 16.0 999.0 99.0 99.00
2017 01 02 23 50 132 1.2 1.9 1.35 10.81 7.22 294 1018.9 13.7 16.0 999.0 99.0 99.00
2017 01 03 00 50 146 1.9 2.8 1.38 11.43 7.76 294 1018.8 13.8 16.0 999.0 99.0 99.00
2017 01 03 01 50 140 2.0 2.8 1.38 16.00 8.16 304 1019.1 14.0 16.0 999.0 99.0 99.00
2017 01 03 02 50 86 1.4 2.3 1.41 16.00 8.00 287 1019.5 13.0 15.9 999.0 99.0 99.00
2017 01 03 03 50 106 2.1 2.9 1.31 16.00 8.15 281 1019.7 13.1 15.9 999.0 99.0 99.00
2017 01 03 04 50 91 4.4 5.2 1.39 14.81 8.63 294 1020.1 13.2 15.9 999.0 99.0 99.00
2017 01 03 05 50 104 4.0 4.9 1.57 14.81 9.19 306 1020.5 13.4 15.9 999.0 99.0 99.00
2017 01 03 06 50 108 2.4 3.5 1.44 16.00 8.81 301 1021.1 13.7 15.9 999.0 99.0 99.00
2017 01 03 07 50 158 2.7 3.7 1.43 14.81 8.55 292 1021.4 14.0 15.9 999.0 99.0 99.00
2017 01 03 08 50 135 1.8 2.7 1.58 14.81 9.45 299 1020.9 13.9 15.9 999.0 99.0 99.00
2017 01 03 09 50 151 1.4 2.3 1.49 16.00 9.39 294 1021.0 13.9 15.9 999.0 99.0 99.00
2017 01 03 10 50 142 2.1 2.7 1.53 14.81 9.76 302 1021.0 14.2 15.9 999.0 99.0 99.00
2017 01 03 11 50 98 3.8 4.7 1.62 14.81 9.76 307 1020.2 14.1 15.9 999.0 99.0 99.00
2017 01 03 12 50 94 4.0 5.1 1.58 14.81 9.73 305 1019.8 14.1 15.9 999.0 99.0 99.00
2017 01 03 13 50 96 4.3 5.7 1.55 14.81 9.43 305 1019.6 14.2 15.9 999.0 99.0 99.00
