YY MM DD hh mm WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS TIDE
2006 01 01 00 00 237 7.7 9.3 3.04 13.79 8.91 999 1014.0 15.8 15.0 999.0 99.0 99.00
2006 01 01 01 00 240 7.3 8.6 3.06 12.90 8.32 999 1014.1 15.5 15.0 999.0 99.0 99.00
2006 01 01 02 00 247 6.0 7.4 2.92 12.90 8.59 999 1014.4 15.6 15.1 999.0 99.0 99.00
2006 01 01 03 00 253 6.1 7.4 2.43 12.90 7.76 999 1014.1 15.6 15.1 999.0 99.0 99.00
2006 01 01 04 00 274 4.9 6.5 2.60 12.12 8.02 999 1014.5 15.7 15.1 999.0 99.0 99.00
2006 01 01 05 00 273 1.3 2.0 2.79 13.79 8.32 999 1015.4 15.2 15.1 999.0 99.0 99.00
2006 01 01 06 00 217 0.7 1.4 3.02 13.79 8.45 999 1015.4 15.0 15.1 999.0 99.0 99.00
2006 01 01 07 00 258 2.2 3.0 3.01 12.90 8.62 999 1016.0 14.9 15.0 999.0 99.0 99.00
2006 01 01 08 00 266 2.1 2.9 2.79 12.90 8.28 999 1015.6 14.8 15.0 999.0 99.0 99.00
2006 01 01 09 00 354 2.1 2.9 3.32 13.79 9.26 999 1015.2 14.8 15.0 999.0 99.0 99.00
2006 01 01 10 00 270 1.8 2.6 3.21 13.79 9.02 999 1015.8 14.8 15.0 999.0 99.0 99.00
2006 01 01 11 00 238 1.3 2.9 3.50 13.79 9.50 999 1015.6 14.7 15.0 999.0 99.0 99.00
2006 01 01 12 00 176 1.1 2.2 3.40 13.79 9.47 999 1015.1 14.6 15.0 999.0 99.0 99.00
2006 01 01 13 00 149 1.2 2.6 3.15 11.43 9.33 999 1014.6 14.6 15.0 999.0 99.0 99.00
2006 01 01 14 00 116 3.5 5.2 2.91 12.90 9.20 999 1014.4 14.6 15.0 999.0 99.0 99.00
2006 01 01 15 00 133 4.4 5.6 3.21 12.12 9.75 999 1013.6 14.3 15.0 999.0 99.0 99.00
2006 01 01 16 00 140 6.0 7.6 2.70 12.12 8.89 999 1014.1 14.3 15.0 999.0 99.0 99.00
2006 01 01 17 00 142 5.7 7.7 2.85 13.79 9.12 999 1014.9 13.6 15.0 999.0 99.0 99.00
2006 01 01 18 00 152 6.5 8.8 3.06 13.79 9.14 999 1015.0 13.9 15.0 999.0 99.0 99.00
2006 01 01 19 00 148 7.3 8.7 3.22 12.90 9.00 999 1013.4 14.4 15.0 999.0 99.0 99.00
2006 01 01 20 00 154 6.2 8.3 3.30 13.79 9.21 999 1013.0 14.7 15.0 999.0 99.0 99.00
2006 01 01 21 00 162 7.4 9.4 3.04 12.90 8.71 999 1011.3 14.9 15.0 999.0 99.0 99.00
2006 01 01 22 00 177 6.5 8.0 2.78 12.90 8.17 999 1011.1 15.3 15.0 999.0 99.0 99.00
2006 01 01 23 00 206 6.5 7.6 2.92 12.90 8.88 999 1011.5 15.8 15.0 999.0 99.0 99.00
2006 01 02 00 00 228 7.1 8.5 3.07 12.90 8.35 999 1011.8 15.8 15.1 999.0 99.0 99.00
2006 01 02 01 00 221 5.6 6.9 2.82 12.90 8.14 999 1012.1 16.0 15.1 999.0 99.0 99.00
2006 01 02 02 00 209 6.3 7.2 2.52 12.12 7.67 999 1011.8 16.1 15.1 999.0 99.0 99.00
2006 01 02 03 00 193 6.2 7.2 2.63 12.90 7.93 999 1011.7 15.9 15.1 999.0 99.0 99.00
2006 01 02 04 00 192 8.3 9.6 2.69 12.90 7.66 999 1011.5 15.9 15.1 999.0 99.0 99.00
2006 01 02 05 00 185 6.0 7.3 2.64 12.90 7.70 999 1011.7 15.7 15.1 999.0 99.0 99.00
2006 01 02 06 00 189 5.9 6.7 2.36 12.90 7.26 999 1011.9 15.5 15.1 999.0 99.0 99.00
2006 01 02 07 00 182 7.0 8.6 2.53 12.90 7.56 999 1011.6 15.6 15.1 999.0 99.0 99.00
2006 01 02 08 00 188 8.0 9.3 2.65 12.12 8.00 999 1010.9 15.8 15.1 999.0 99.0 99.00
2006 01 02 09 00 183 8.6 10.3 2.48 12.12 7.16 999 1010.5 15.7 15.1 999.0 99.0 99.00
2006 01 02 10 00 179 8.5 10.6 2.82 12.90 7.98 999 1010.0 15.9 15.1 999.0 99.0 99.00
2006 01 02 11 00 177 8.4 9.7 2.37 12.12 6.91 999 1009.8 15.9 15.1 999.0 99.0 99.00
2006 01 02 12 00 172 10.8 12.8 2.56 12.90 7.05 999 1008.3 15.9 15.1 999.0 99.0 99.00
2006 01 02 13 00 183 11.8 14.2 2.48 12.90 6.48 999 1008.5 16.2 15.1 999.0 99.0 99.00
2006 01 02 14 00 191 12.6 15.1 2.99 17.39 6.69 999 1008.9 16.7 15.1 999.0 99.0 99.00
2006 01 02 15 00 186 11.9 14.5 3.23 12.90 6.85 999 1008.6 16.3 15.1 999.0 99.0 99.00
2006 01 02 16 00 182 12.1 14.6 3.10 11.43 6.68 999 1008.8 16.2 15.1 999.0 99.0 99.00
2006 01 02 17 00 194 12.5 15.0 3.54 12.90 6.84 999 1009.6 15.6 15.1 999.0 99.0 99.00
2006 01 02 18 00 223 9.5 11.3 3.56 16.00 6.97 999 1011.5 15.6 15.1 999.0 99.0 99.00
2006 01 02 19 00 214 9.2 10.9 4.07 17.39 7.88 999 1011.6 15.9 15.1 999.0 99.0 99.00
2006 01 02 20 00 235 10.8 13.6 3.97 17.39 7.65 999 1011.7 16.2 15.1 999.0 99.0 99.00
2006 01 02 21 00 249 11.0 13.7 4.12 12.90 7.81 999 1011.9 16.1 15.1 999.0 99.0 99.00
2006 01 02 22 00 251 9.2 11.0 4.42 14.81 8.20 999 1012.6 15.8 15.1 999.0 99.0 99.00
2006 01 02 23 00 267 11.6 14.8 4.48 13.79 8.11 999 1013.3 15.9 15.0 999.0 99.0 99.00
2006 01 03 00 00 270 10.2 13.5 4.38 14.81 7.92 999 1014.3 15.6 15.0 999.0 99.0 99.00
2006 01 03 01 00 270 8.8 11.3 4.52 16.00 8.49 999 1015.3 15.3 15.0 999.0 99.0 99.00
2006 01 03 02 00 276 8.0 10.2 4.14 16.00 8.24 999 1016.2 15.1 15.0 999.0 99.0 99.00
2006 01 03 03 00 289 7.9 9.8 4.44 13.79 8.59 999 1017.6 15.1 15.0 999.0 99.0 99.00
2006 01 03 04 00 291 8.0 9.6 4.70 14.81 9.23 999 1018.7 15.1 15.0 999.0 99.0 99.00
2006 01 03 05 00 281 5.7 7.3 4.56 12.90 9.23 999 1019.6 15.0 15.0 999.0 99.0 99.00
2006 01 03 06 00 280 3.5 5.0 4.78 12.90 9.46 999 1020.1 14.9 15.0 999.0 99.0 99.00
2006 01 03 07 00 291 3.9 5.3 4.26 13.79 9.48 999 1020.5 14.8 15.0 999.0 99.0 99.00
2006 01 03 08 00 313 5.5 7.7 4.28 12.90 9.52 999 1021.1 14.8 15.0 999.0 99.0 99.00
2006 01 03 09 00 317 4.3 6.0 4.50 13.79 9.61 999 1021.4 14.7 15.0 999.0 99.0 99.00
2006 01 03 10 00 329 4.0 5.6 4.43 11.43 9.22 999 1021.6 14.6 15.0 999.0 99.0 99.00
2006 01 03 11 00 317 3.2 5.1 4.76 11.43 9.45 999 1022.0 14.5 14.9 999.0 99.0 99.00
2006 01 03 12 00 319 3.0 4.3 4.60 11.43 9.56 999 1022.3 14.4 15.0 999.0 99.0 99.00
2006 01 03 13 00 338 1.0 2.6 4.83 14.81 10.00 999 1021.4 14.2 15.0 999.0 99.0 99.00
2006 01 03 14 00 334 2.1 3.4 5.08 16.00 10.11 999 1021.9 14.2 15.0 999.0 99.0 99.00
2006 01 03 15 00 345 2.6 3.7 4.40 16.00 9.77 999 1022.2 14.1 14.9 999.0 99.0 99.00
2006 01 03 16 00 358 3.0 4.3 4.30 16.00 9.73 999 1023.3 14.2 14.9 999.0 99.0 99.00
