YY MM DD hh WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS
1991 12 04 18 306 05.5 06.5 01.30 08.30 07.30 999 1017.8 14.9 15.3 999.0 99.0
1991 12 04 19 308 05.9 07.0 01.10 14.30 07.00 999 1016.7 14.9 15.3 999.0 99.0
1991 12 04 20 296 05.2 05.8 01.10 14.30 07.20 999 1016.2 15.1 15.4 999.0 99.0
1991 12 04 21 291 04.8 05.5 01.10 14.30 07.10 999 1015.4 15.1 15.4 999.0 99.0
1991 12 04 22 289 04.9 05.7 01.00 14.30 07.30 999 1015.2 15.1 15.4 999.0 99.0
1991 12 04 23 298 04.8 05.5 01.10 14.30 08.10 999 1014.7 15.1 15.3 999.0 99.0
1991 12 05 00 323 04.0 04.9 01.10 12.50 07.70 999 1014.0 15.1 15.3 999.0 99.0
1991 12 05 01 331 03.6 04.2 01.00 14.30 07.70 999 1014.4 15.2 15.2 999.0 99.0
1991 12 05 02 328 01.2 01.7 01.20 14.30 09.00 999 1015.0 15.1 15.1 999.0 99.0
1991 12 05 03 252 03.3 03.7 01.00 20.00 08.60 999 1015.5 15.2 15.1 999.0 99.0
1991 12 05 04 271 03.2 04.0 01.10 12.50 09.00 999 1015.6 15.1 15.1 999.0 99.0
1991 12 05 05 287 03.1 03.9 01.30 20.00 10.50 999 1015.6 15.0 15.2 999.0 99.0
1991 12 05 06 283 04.2 04.9 01.30 20.00 10.30 999 1015.8 15.0 15.1 999.0 99.0
1991 12 05 07 264 03.3 04.2 01.30 20.00 10.20 999 1015.9 15.0 15.2 999.0 99.0
1991 12 05 08 274 04.2 04.8 01.60 20.00 11.50 999 1015.7 15.0 15.2 999.0 99.0
1991 12 05 09 272 04.3 05.3 01.70 20.00 12.20 999 1015.5 15.0 15.2 999.0 99.0
1991 12 05 10 292 05.1 06.4 01.60 20.00 11.10 999 1015.4 14.8 15.2 999.0 99.0
1991 12 05 11 298 04.1 04.9 01.70 20.00 10.90 999 1015.3 14.8 15.1 999.0 99.0
1991 12 05 12 294 03.2 03.9 01.50 20.00 09.90 999 1015.3 14.7 15.1 999.0 99.0
1991 12 05 13 288 03.7 04.4 01.40 20.00 09.60 999 1015.0 14.6 15.1 999.0 99.0
1991 12 05 14 307 03.6 04.3 01.40 20.00 09.60 999 1015.2 14.6 15.1 999.0 99.0
1991 12 05 15 288 02.1 02.7 01.60 20.00 10.00 999 1015.8 14.6 15.2 999.0 99.0
1991 12 05 16 298 04.5 05.2 01.10 16.70 07.70 999 1016.1 14.7 15.2 999.0 99.0
1991 12 05 17 326 03.8 04.4 01.40 20.00 09.70 999 1016.6 14.8 15.3 999.0 99.0
1991 12 05 18 320 03.3 03.8 01.90 16.70 12.20 999 1017.2 14.8 15.3 999.0 99.0
1991 12 05 19 318 02.7 03.7 01.60 16.70 11.10 999 1016.8 14.7 15.4 999.0 99.0
1991 12 05 20 313 01.4 02.1 01.40 16.70 10.70 999 1015.9 14.9 15.5 999.0 99.0
1991 12 05 21 258 02.4 03.5 01.70 16.70 10.90 999 1015.4 14.8 15.8 999.0 99.0
1991 12 05 22 284 03.2 03.9 01.60 16.70 10.40 999 1015.0 14.9 15.6 999.0 99.0
1991 12 05 23 287 04.9 05.9 01.80 16.70 10.30 999 1015.0 14.9 15.6 999.0 99.0
1991 12 06 00 291 04.2 05.1 01.60 16.70 10.00 999 1014.9 14.7 15.5 999.0 99.0
1991 12 06 01 290 04.9 05.7 02.20 16.70 11.70 999 1015.2 14.5 15.3 999.0 99.0
1991 12 06 02 292 03.7 05.0 01.80 16.70 10.60 999 1015.4 14.4 15.3 999.0 99.0
1991 12 06 03 313 03.3 04.3 01.80 16.70 10.80 999 1015.6 14.2 15.3 999.0 99.0
1991 12 06 04 301 02.6 03.8 01.80 16.70 10.30 999 1015.8 14.1 15.3 999.0 99.0
1991 12 06 05 288 02.4 03.4 01.80 16.70 10.90 999 1016.1 13.8 15.2 999.0 99.0
1991 12 06 06 305 03.7 05.1 01.90 16.70 10.50 999 1016.3 13.6 15.2 999.0 99.0
1991 12 06 07 311 03.4 04.5 02.40 16.70 11.90 999 1016.7 13.3 15.2 999.0 99.0
1991 12 06 08 341 02.8 03.8 02.00 16.70 11.10 999 1016.5 13.2 15.2 999.0 99.0
1991 12 06 09 284 01.6 02.6 02.10 16.70 11.20 999 1016.2 12.9 15.2 999.0 99.0
1991 12 06 10 301 01.4 02.4 01.90 16.70 10.60 999 1016.0 12.5 15.2 999.0 99.0
1991 12 06 11 317 03.3 04.9 02.20 16.70 11.20 999 1015.9 12.7 15.2 999.0 99.0
1991 12 06 12 306 03.3 04.3 01.90 16.70 10.20 999 1015.7 13.6 15.2 999.0 99.0
