YY MM DD hh WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS TIDE
2001 01 01 00 180 0.0 0.3 2.68 16.67 9.58 999 1014.5 13.2 15.2 10.6 99.0 99.00
2001 01 01 01 219 1.4 2.1 2.66 16.67 9.65 999 1014.5 13.2 15.2 10.9 99.0 99.00
2001 01 01 02 255 3.0 4.1 2.46 16.67 9.55 999 1015.1 13.6 15.2 11.2 99.0 99.00
2001 01 01 03 286 4.5 5.8 2.68 16.67 9.71 999 1015.9 13.3 15.1 10.9 99.0 99.00
2001 01 01 04 297 3.9 5.1 2.81 20.00 10.42 999 1016.4 13.2 15.0 10.7 99.0 99.00
2001 01 01 05 309 3.0 4.2 2.77 16.67 10.31 999 1017.0 13.2 15.1 10.5 99.0 99.00
2001 01 01 06 338 1.8 2.9 2.56 16.67 9.94 999 1017.5 13.0 15.0 10.1 99.0 99.00
2001 01 01 07 31 1.6 2.3 2.60 16.67 10.05 999 1017.7 13.1 15.0 10.2 99.0 99.00
2001 01 01 08 28 1.5 2.4 2.62 16.67 9.72 999 1017.3 13.2 15.0 10.4 99.0 99.00
2001 01 01 09 53 0.8 1.4 2.57 16.67 9.71 999 1017.1 13.2 15.0 10.4 99.0 99.00
2001 01 01 10 31 0.5 1.2 2.67 16.67 10.50 999 1017.1 13.2 14.9 10.4 99.0 99.00
2001 01 01 11 75 0.1 1.1 2.77 16.67 10.61 999 1017.0 13.1 14.9 10.5 99.0 99.00
2001 01 01 12 308 0.5 1.5 2.57 16.67 10.19 999 1017.2 13.2 14.9 10.6 99.0 99.00
2001 01 01 13 341 1.3 1.9 2.16 16.67 9.19 999 1017.2 13.3 14.9 10.8 99.0 99.00
2001 01 01 14 116 0.4 1.3 2.09 14.29 9.51 999 1017.9 13.2 14.9 10.7 99.0 99.00
2001 01 01 15 352 1.4 2.3 2.35 16.67 10.27 999 1018.2 13.2 14.9 10.4 99.0 99.00
2001 01 01 16 356 1.6 2.2 2.45 14.29 10.35 999 1018.6 13.2 14.9 10.5 99.0 99.00
2001 01 01 17 352 1.8 2.6 2.58 16.67 10.85 999 1019.2 13.2 14.9 10.6 99.0 99.00
2001 01 01 18 297 1.3 2.2 2.61 16.67 11.17 999 1019.9 13.3 15.0 10.3 99.0 99.00
2001 01 01 19 117 1.0 2.0 2.70 16.67 11.16 999 1019.3 13.8 15.1 10.5 99.0 99.00
2001 01 01 20 341 1.0 1.7 2.35 16.67 10.38 999 1018.5 13.6 15.3 10.5 99.0 99.00
