YY MM DD hh WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS TIDE
2004 01 01 00 315 2.4 3.4 2.18 11.11 8.31 999 1014.9 14.2 15.1 999.0 99.0 99.00
2004 01 01 01 322 0.8 2.3 2.27 11.11 8.66 999 1015.0 13.9 14.9 999.0 99.0 99.00
2004 01 01 02 321 2.5 3.4 2.11 11.11 8.41 999 1015.7 13.8 15.0 999.0 99.0 99.00
2004 01 01 03 304 1.6 2.9 2.04 12.50 8.55 999 1016.3 13.7 14.9 999.0 99.0 99.00
2004 01 01 04 273 0.3 1.1 1.99 11.11 8.65 999 1017.0 13.5 14.8 999.0 99.0 99.00
2004 01 01 05 189 0.9 1.5 1.96 11.11 8.76 999 1017.6 13.6 14.6 999.0 99.0 99.00
2004 01 01 06 198 2.5 3.3 1.92 11.11 9.03 999 1018.1 13.7 14.7 999.0 99.0 99.00
2004 01 01 07 203 2.8 3.5 1.91 20.00 9.25 999 1018.0 13.6 14.9 999.0 99.0 99.00
2004 01 01 08 193 3.2 4.1 2.25 20.00 10.01 999 1017.9 13.7 14.8 999.0 99.0 99.00
2004 01 01 09 206 2.4 3.1 1.93 20.00 9.21 999 1017.6 13.7 14.8 999.0 99.0 99.00
2004 01 01 10 195 2.1 2.7 2.19 20.00 9.69 999 1017.9 13.7 14.8 999.0 99.0 99.00
2004 01 01 11 191 2.2 2.9 2.22 20.00 10.60 999 1018.1 13.7 14.9 999.0 99.0 99.00
2004 01 01 12 202 2.2 3.0 2.26 20.00 10.43 999 1017.9 13.7 14.9 999.0 99.0 99.00
2004 01 01 13 196 3.6 4.6 2.46 20.00 10.71 999 1018.7 13.7 15.0 999.0 99.0 99.00
2004 01 01 14 210 3.7 4.4 2.28 20.00 10.19 999 1019.1 13.6 15.0 999.0 99.0 99.00
2004 01 01 15 191 3.3 4.3 2.25 20.00 10.40 999 1019.5 13.7 15.1 999.0 99.0 99.00
2004 01 01 16 228 3.5 4.7 2.39 20.00 10.39 999 1020.7 14.0 15.2 999.0 99.0 99.00
2004 01 01 17 232 3.0 3.8 2.49 20.00 11.04 999 1021.7 14.2 15.2 999.0 99.0 99.00
2004 01 01 18 206 3.2 4.0 2.42 20.00 10.63 999 1022.4 14.3 15.1 999.0 99.0 99.00
2004 01 01 19 219 2.7 3.5 2.12 20.00 10.76 999 1022.3 14.3 15.2 999.0 99.0 99.00
2004 01 01 20 194 2.7 3.7 2.18 16.67 10.65 999 1021.2 14.3 15.2 999.0 99.0 99.00
2004 01 01 21 212 3.4 4.0 2.61 16.67 11.56 999 1020.8 14.4 15.3 999.0 99.0 99.00
2004 01 01 22 200 3.4 4.0 2.32 16.67 10.90 999 1020.2 14.4 15.4 999.0 99.0 99.00
2004 01 01 23 219 2.8 3.5 3.33 16.67 13.08 999 1020.2 14.6 15.5 999.0 99.0 99.00
2004 01 02 00 216 3.5 4.4 2.50 16.67 11.70 999 1019.8 14.6 15.5 999.0 99.0 99.00
2004 01 02 01 218 3.9 4.6 2.91 16.67 12.68 999 1020.0 14.4 15.4 999.0 99.0 99.00
2004 01 02 02 203 3.8 4.5 2.77 16.67 12.25 999 1020.4 14.4 15.3 999.0 99.0 99.00
2004 01 02 03 197 3.3 4.0 2.65 16.67 12.05 999 1020.7 14.4 15.3 999.0 99.0 99.00
2004 01 02 04 214 4.3 5.2 2.73 16.67 12.36 999 1020.7 14.6 15.1 999.0 99.0 99.00
2004 01 02 05 219 3.8 4.4 2.75 16.67 12.37 999 1021.0 14.6 15.1 999.0 99.0 99.00
2004 01 02 06 209 4.1 4.7 3.03 16.67 12.78 999 1021.1 14.6 15.0 999.0 99.0 99.00
2004 01 02 07 230 4.9 5.9 2.39 14.29 11.70 999 1020.9 14.6 15.0 999.0 99.0 99.00
2004 01 02 08 229 3.5 4.5 3.06 14.29 12.48 999 1020.3 14.5 15.0 999.0 99.0 99.00
2004 01 02 09 208 3.7 4.5 2.41 14.29 11.71 999 1020.1 14.6 15.0 999.0 99.0 99.00
2004 01 02 10 237 4.4 5.4 2.39 14.29 11.81 999 1020.1 14.7 14.9 999.0 99.0 99.00
2004 01 02 11 225 3.5 4.3 2.45 16.67 12.41 999 1020.0 14.7 15.0 999.0 99.0 99.00
2004 01 02 12 235 4.5 5.5 2.69 14.29 12.23 999 1019.5 14.7 15.2 999.0 99.0 99.00
2004 01 02 13 203 4.2 4.9 2.46 14.29 11.97 999 1019.2 14.7 15.3 999.0 99.0 99.00
