YY MM DD hh mm WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS TIDE
2005 01 01 00 00 302 6.3 8.0 2.75 12.90 7.96 999 1015.6 13.9 15.4 999.0 99.0 99.00
2005 01 01 01 00 298 5.2 6.8 2.73 16.00 8.35 999 1015.8 13.9 15.4 999.0 99.0 99.00
2005 01 01 02 00 312 6.3 7.7 2.75 12.90 8.26 999 1016.1 13.9 15.4 999.0 99.0 99.00
2005 01 01 03 00 317 6.1 9.0 2.57 12.12 8.35 999 1016.7 14.0 15.4 999.0 99.0 99.00
2005 01 01 04 00 288 5.6 7.6 2.58 14.81 8.45 999 1017.0 14.0 15.4 999.0 99.0 99.00
2005 01 01 05 00 291 5.2 6.3 2.68 14.81 8.59 999 1017.2 13.9 15.4 999.0 99.0 99.00
2005 01 01 06 00 299 5.0 6.4 2.69 14.81 8.58 999 1017.4 13.8 15.3 999.0 99.0 99.00
2005 01 01 07 00 300 4.9 6.4 2.77 14.81 8.63 999 1017.6 13.8 15.3 999.0 99.0 99.00
2005 01 01 08 00 281 4.4 6.3 3.12 12.12 8.96 999 1017.6 13.8 15.3 999.0 99.0 99.00
2005 01 01 09 00 292 4.0 5.5 2.73 14.81 8.63 999 1017.2 13.8 15.3 999.0 99.0 99.00
2005 01 01 10 00 293 4.9 6.2 2.80 13.79 8.57 999 1017.4 13.9 15.3 999.0 99.0 99.00
2005 01 01 11 00 324 3.7 5.4 2.91 11.43 8.72 999 1017.5 13.9 15.3 999.0 99.0 99.00
2005 01 01 12 00 327 3.0 4.1 3.27 13.79 8.73 999 1017.3 13.9 15.3 999.0 99.0 99.00
2005 01 01 13 00 323 4.6 5.9 3.12 12.90 8.62 999 1017.4 12.8 15.3 999.0 99.0 99.00
2005 01 01 14 00 356 3.6 4.9 3.01 12.12 8.37 999 1018.0 12.3 15.3 999.0 99.0 99.00
2005 01 01 15 00 39 2.4 3.2 3.26 12.90 8.79 999 1018.6 12.4 15.3 999.0 99.0 99.00
2005 01 01 16 00 72 0.9 2.1 3.23 11.43 8.63 999 1019.2 13.1 15.3 999.0 99.0 99.00
2005 01 01 17 00 118 1.8 3.0 3.01 12.12 8.57 999 1019.6 13.3 15.3 999.0 99.0 99.00
2005 01 01 18 00 131 2.4 3.8 3.03 12.90 8.88 999 1019.8 13.3 15.3 999.0 99.0 99.00
2005 01 01 19 00 212 1.2 2.5 2.77 13.79 8.65 999 1020.0 11.7 15.3 999.0 99.0 99.00
2005 01 01 20 00 201 1.3 2.3 2.78 13.79 8.90 999 1019.1 13.1 15.4 999.0 99.0 99.00
2005 01 01 21 00 246 0.6 1.4 2.60 13.79 8.70 999 1018.3 13.4 15.4 999.0 99.0 99.00
2005 01 01 22 00 183 0.2 1.2 2.39 12.90 8.50 999 1017.9 13.7 15.5 999.0 99.0 99.00
2005 01 01 23 00 259 1.0 2.0 2.58 13.79 8.96 999 1017.7 13.6 15.6 999.0 99.0 99.00
2005 01 02 00 00 259 1.4 2.8 2.41 14.81 8.93 999 1017.6 13.6 15.5 999.0 99.0 99.00
2005 01 02 01 00 303 4.6 5.7 2.39 12.90 9.27 999 1017.5 13.1 15.5 999.0 99.0 99.00
2005 01 02 02 00 286 1.3 2.5 2.56 13.79 9.74 999 1017.5 13.3 15.4 999.0 99.0 99.00
2005 01 02 03 00 340 2.2 3.4 2.35 13.79 9.68 999 1017.8 13.4 15.4 999.0 99.0 99.00
2005 01 02 04 00 342 2.5 3.8 2.30 12.90 9.51 999 1017.8 13.4 15.3 999.0 99.0 99.00
2005 01 02 05 00 345 2.1 3.1 2.08 12.12 9.09 999 1018.1 13.4 15.3 999.0 99.0 99.00
2005 01 02 06 00 346 2.5 3.5 2.42 12.90 9.38 999 1018.2 13.4 15.3 999.0 99.0 99.00
2005 01 02 07 00 344 2.1 3.3 2.46 12.12 9.72 999 1018.4 13.5 15.3 999.0 99.0 99.00
2005 01 02 08 00 328 1.6 2.5 2.33 12.12 9.17 999 1018.0 13.6 15.3 999.0 99.0 99.00
2005 01 02 09 00 244 1.4 2.5 2.51 12.12 9.34 999 1017.8 13.4 15.3 999.0 99.0 99.00
2005 01 02 10 00 239 1.4 2.2 2.27 11.43 9.12 999 1017.6 13.4 15.3 999.0 99.0 99.00
2005 01 02 11 00 226 1.1 1.9 2.41 11.43 9.01 999 1017.1 13.4 15.3 999.0 99.0 99.00
2005 01 02 12 00 215 1.9 3.0 2.61 11.43 9.07 999 1016.9 13.4 15.3 999.0 99.0 99.00
2005 01 02 13 00 213 2.5 3.5 2.61 11.43 8.92 999 1016.6 13.4 15.3 999.0 99.0 99.00
2005 01 02 14 00 222 2.5 3.3 2.68 10.81 8.91 999 1016.5 13.4 15.3 999.0 99.0 99.00
2005 01 02 15 00 231 2.9 3.7 2.60 11.43 8.88 999 1016.7 13.4 15.3 999.0 99.0 99.00
2005 01 02 16 00 211 2.3 3.3 2.51 12.12 8.79 999 1016.6 13.4 15.3 999.0 99.0 99.00
2005 01 02 17 00 193 3.3 4.5 2.29 12.12 8.64 999 1017.0 13.6 15.3 999.0 99.0 99.00
2005 01 02 18 00 190 3.8 4.7 2.13 12.12 8.40 999 1017.4 13.8 15.3 999.0 99.0 99.00
2005 01 02 19 00 196 4.9 6.3 2.22 12.90 8.87 999 1017.0 13.9 15.3 999.0 99.0 99.00
2005 01 02 20 00 204 5.7 7.1 2.29 12.90 8.72 999 1016.1 13.8 15.3 999.0 99.0 99.00
2005 01 02 21 00 200 5.3 6.6 1.97 11.43 7.89 999 1014.9 14.0 15.3 999.0 99.0 99.00
2005 01 02 22 00 193 6.0 7.5 2.11 12.90 7.97 999 1014.3 14.1 15.4 999.0 99.0 99.00
2005 01 02 23 00 184 6.4 7.8 2.02 12.12 7.87 999 1014.0 13.9 15.4 999.0 99.0 99.00
2005 01 03 00 00 194 7.1 8.2 2.11 12.90 7.74 999 1014.0 14.0 15.3 999.0 99.0 99.00
2005 01 03 01 00 187 6.7 8.0 2.02 11.43 7.67 999 1013.8 13.9 15.3 999.0 99.0 99.00
2005 01 03 02 00 191 7.2 8.9 1.76 12.12 7.26 999 1013.8 14.1 15.3 999.0 99.0 99.00
2005 01 03 03 00 192 8.8 10.4 1.99 12.12 7.11 999 1013.7 14.0 15.3 999.0 99.0 99.00
2005 01 03 04 00 209 7.7 9.0 1.97 12.12 6.48 999 1013.7 13.2 15.3 999.0 99.0 99.00
2005 01 03 05 00 185 8.1 9.9 2.00 12.12 6.78 999 1013.7 13.0 15.3 999.0 99.0 99.00
2005 01 03 06 00 169 9.5 11.9 2.00 12.12 6.83 999 1013.4 14.3 15.3 999.0 99.0 99.00
2005 01 03 07 00 173 9.4 12.5 2.30 11.43 6.89 999 1013.2 14.4 15.3 999.0 99.0 99.00
2005 01 03 08 00 176 9.5 11.4 1.99 10.81 5.81 999 1012.7 14.5 15.3 999.0 99.0 99.00
2005 01 03 09 00 179 8.4 10.0 2.31 12.12 6.42 999 1012.2 14.2 15.2 999.0 99.0 99.00
2005 01 03 10 00 189 7.5 9.1 2.44 11.43 7.06 999 1011.5 14.3 15.2 999.0 99.0 99.00
2005 01 03 11 00 213 8.1 10.0 2.36 10.81 6.86 999 1011.1 13.5 15.1 999.0 99.0 99.00
2005 01 03 12 00 215 7.4 8.6 2.44 12.12 7.05 999 1010.8 12.9 15.1 999.0 99.0 99.00
2005 01 03 13 00 290 6.7 9.0 2.40 10.81 7.33 999 1010.4 11.7 15.1 999.0 99.0 99.00
2005 01 03 14 00 342 2.7 4.2 2.20 10.81 7.48 999 1010.2 12.0 15.1 999.0 99.0 99.00
