YY MM DD hh mm WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS TIDE
yr mo dy hr mn degT m/s m/s m sec sec degT hPa degC degC degC mi ft
2014 05 16 04 50 292 3.6 4.1 1.03 13.79 9.08 179 1015.4 18.6 17.7 999.0 99.0 99.00
2014 05 16 05 50 293 3.6 4.3 1.13 13.79 9.88 175 1015.7 18.6 17.7 999.0 99.0 99.00
2014 05 16 06 50 281 2.5 3.0 1.05 13.79 9.11 177 1015.6 18.3 17.6 999.0 99.0 99.00
2014 05 16 07 50 292 2.5 3.0 1.14 13.79 8.43 186 1015.8 17.9 17.2 999.0 99.0 99.00
2014 05 16 08 50 294 2.4 2.8 1.20 13.79 8.00 203 1015.4 17.5 17.3 999.0 99.0 99.00
2014 05 16 09 50 294 2.4 3.3 1.07 13.79 6.86 195 1015.0 17.4 16.9 999.0 99.0 99.00
2014 05 16 10 50 295 3.4 4.0 1.09 13.79 6.38 181 1014.9 17.3 16.6 999.0 99.0 99.00
2014 05 16 11 50 306 4.5 5.0 1.24 13.79 6.90 173 1014.7 17.4 16.4 999.0 99.0 99.00
2014 05 16 12 50 306 4.3 5.1 1.05 13.79 6.08 200 1014.9 17.2 16.4 999.0 99.0 99.00
2014 05 16 13 50 309 5.0 5.9 1.10 13.79 6.40 166 1015.3 17.1 16.4 999.0 99.0 99.00
2014 05 16 14 50 308 4.1 5.0 1.15 12.90 5.86 172 1015.7 16.9 16.3 999.0 99.0 99.00
2014 05 16 15 50 298 6.2 7.2 1.20 13.79 5.66 184 1015.6 16.8 16.4 999.0 99.0 99.00
2014 05 16 16 50 298 6.3 7.4 1.25 13.79 6.19 165 1015.7 16.8 16.6 999.0 99.0 99.00
2014 05 16 17 50 314 7.2 8.4 1.28 13.79 5.68 187 1015.7 16.8 16.5 999.0 99.0 99.00
2014 05 16 18 50 308 7.2 8.5 1.31 13.79 5.63 179 1015.9 16.6 16.7 999.0 99.0 99.00
2014 05 16 19 50 311 7.7 9.2 1.33 13.79 5.45 184 1015.5 16.6 16.8 999.0 99.0 99.00
2014 05 16 20 50 311 8.4 9.7 1.42 13.79 5.23 211 1015.2 16.5 16.7 999.0 99.0 99.00
2014 05 16 21 50 309 8.1 9.5 1.52 13.79 5.57 185 1015.0 16.6 16.8 999.0 99.0 99.00
2014 05 16 22 50 308 7.3 8.5 1.62 13.79 5.48 170 1014.6 16.8 16.8 999.0 99.0 99.00
2014 05 16 23 50 307 7.4 9.0 1.59 7.14 5.49 322 1014.2 16.9 16.8 999.0 99.0 99.00
2014 05 17 00 50 309 7.7 8.9 1.56 12.90 5.34 195 1013.7 16.9 16.8 999.0 99.0 99.00
2014 05 17 01 50 312 8.3 9.6 1.57 13.79 5.21 189 1013.7 16.8 16.7 999.0 99.0 99.00
2014 05 17 02 50 313 8.1 10.3 1.54 13.79 5.31 154 1013.9 16.5 16.7 999.0 99.0 99.00
2014 05 17 03 50 313 8.7 10.0 1.75 7.69 5.75 312 1014.0 16.3 16.5 999.0 99.0 99.00
2014 05 17 04 50 308 7.3 8.5 1.81 8.33 5.82 302 1014.4 16.2 16.4 999.0 99.0 99.00
2014 05 17 05 50 307 7.4 8.8 1.66 13.79 5.77 209 1014.4 16.1 16.2 999.0 99.0 99.00
2014 05 17 06 50 302 7.6 9.3 1.86 7.69 5.96 306 1014.3 16.0 16.0 999.0 99.0 99.00
2014 05 17 07 50 301 8.1 9.9 99.00 99.00 99.00 999 1014.1 16.0 15.9 999.0 99.0 99.00
2014 05 17 08 50 304 9.1 10.6 1.90 8.33 5.75 310 1013.4 16.1 15.8 999.0 99.0 99.00
2014 05 17 09 50 303 9.3 11.2 2.09 7.69 5.88 312 1013.0 15.9 15.7 999.0 99.0 99.00
2014 05 17 10 50 307 9.4 11.0 2.01 7.69 5.75 316 1013.0 15.9 15.6 999.0 99.0 99.00
2014 05 17 11 50 310 9.5 11.1 1.98 7.69 5.59 318 1012.8 15.8 15.6 999.0 99.0 99.00
2014 05 17 12 50 312 9.1 10.9 1.79 7.69 5.43 313 1012.9 15.8 15.6 999.0 99.0 99.00
2014 05 17 13 50 308 10.1 12.1 1.85 6.67 5.48 318 1013.3 15.8 15.6 999.0 99.0 99.00
2014 05 17 14 50 309 9.3 11.1 1.89 7.69 5.58 315 1013.8 15.7 15.7 999.0 99.0 99.00
2014 05 17 15 50 314 9.6 11.9 1.87 7.14 5.59 322 1014.3 15.5 15.7 999.0 99.0 99.00
2014 05 17 16 50 311 9.7 11.5 2.00 7.69 5.46 316 1014.3 15.4 15.6 999.0 99.0 99.00
2014 05 17 17 50 315 9.8 11.6 2.24 7.69 5.74 320 1014.2 15.5 15.6 999.0 99.0 99.00
2014 05 17 18 50 310 9.6 11.6 2.21 7.69 5.79 316 1014.2 15.6 15.6 999.0 99.0 99.00
2014 05 17 19 50 309 10.2 12.3 2.21 7.69 6.09 324 1013.9 15.6 15.5 999.0 99.0 99.00
2014 05 17 20 50 311 9.7 11.1 2.21 8.33 5.97 317 1014.0 15.6 15.5 999.0 99.0 99.00
2014 05 17 21 50 313 10.0 12.8 2.37 8.33 5.81 315 1013.7 15.6 15.4 999.0 99.0 99.00
2014 05 17 22 50 314 10.6 13.1 2.28 8.33 5.76 324 1013.3 15.6 15.4 999.0 99.0 99.00
2014 05 17 23 50 316 11.1 13.0 2.17 8.33 5.56 323 1013.0 15.5 15.3 999.0 99.0 99.00
2014 05 18 01 50 313 9.4 11.1 2.02 8.33 5.41 318 1012.6 15.3 15.1 999.0 99.0 99.00
