YY MM DD hh WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS TIDE
2002 01 03 06 284 2.3 3.5 2.96 14.29 10.48 999 1019.7 14.2 13.9 999.0 99.0 99.00
2002 01 03 07 279 5.0 7.9 2.88 14.29 10.27 999 1020.5 13.5 13.8 999.0 99.0 99.00
2002 01 03 08 276 4.6 5.9 2.73 14.29 9.59 999 1020.3 13.4 13.7 999.0 99.0 99.00
2002 01 03 09 343 2.0 2.9 2.77 12.50 9.96 999 1020.1 13.4 13.7 999.0 99.0 99.00
2002 01 03 10 15 0.3 1.4 3.06 12.50 10.11 999 1020.4 13.4 13.6 999.0 99.0 99.00
2002 01 03 11 239 1.2 2.0 3.08 14.29 10.86 999 1020.6 13.5 13.7 999.0 99.0 99.00
2002 01 03 12 260 2.6 3.3 2.57 12.50 10.02 999 1020.9 13.5 13.7 999.0 99.0 99.00
2002 01 03 13 286 3.6 4.6 2.99 14.29 10.73 999 1020.7 13.8 13.7 999.0 99.0 99.00
2002 01 03 14 320 4.1 5.1 2.92 14.29 10.47 999 1020.6 13.8 13.7 999.0 99.0 99.00
2002 01 03 15 329 4.5 5.6 2.62 12.50 10.01 999 1020.9 13.7 13.7 999.0 99.0 99.00
2002 01 03 16 328 2.7 3.4 2.74 14.29 10.33 999 1021.3 13.9 13.7 999.0 99.0 99.00
2002 01 03 17 325 4.8 6.4 2.88 12.50 10.34 999 1022.2 13.8 13.8 999.0 99.0 99.00
2002 01 03 18 315 5.0 6.0 2.76 14.29 10.03 999 1022.5 13.6 13.8 999.0 99.0 99.00
2002 01 03 19 328 5.1 6.9 3.09 14.29 10.25 999 1022.3 13.2 13.7 999.0 99.0 99.00
2002 01 03 20 316 5.9 7.5 2.82 12.50 9.59 999 1022.0 13.2 13.8 999.0 99.0 99.00
2002 01 03 21 340 5.6 6.9 2.87 12.50 9.35 999 1021.0 13.6 13.8 999.0 99.0 99.00
2002 01 03 22 326 5.6 7.1 2.87 12.50 9.79 999 1021.0 13.7 13.8 999.0 99.0 99.00
2002 01 03 23 320 6.1 7.9 3.40 12.50 10.29 999 1021.4 12.5 13.8 999.0 99.0 99.00
2002 01 04 00 304 6.8 8.9 3.12 12.50 9.41 999 1021.5 12.5 13.8 999.0 99.0 99.00
2002 01 04 01 321 6.8 8.6 2.97 14.29 9.28 999 1021.4 12.2 13.8 999.0 99.0 99.00
2002 01 04 02 304 6.8 8.7 3.22 14.29 9.19 999 1022.3 12.5 13.8 999.0 99.0 99.00
2002 01 04 03 298 6.2 7.7 2.78 12.50 8.96 999 1022.1 12.8 13.7 999.0 99.0 99.00
2002 01 04 04 296 6.1 7.3 2.91 11.11 8.78 999 1022.3 13.6 13.7 999.0 99.0 99.00
2002 01 04 05 305 5.6 7.0 3.04 12.50 9.04 999 1022.8 13.7 13.8 999.0 99.0 99.00
2002 01 04 06 305 5.6 6.9 2.87 14.29 8.69 999 1022.6 13.7 13.8 999.0 99.0 99.00
2002 01 04 07 314 5.2 6.1 2.69 11.11 8.12 999 1022.1 13.7 13.8 999.0 99.0 99.00
2002 01 04 08 303 5.2 6.8 2.50 11.11 7.78 999 1021.6 13.6 13.7 999.0 99.0 99.00
2002 01 04 09 306 4.9 6.1 2.77 14.29 8.70 999 1021.4 13.7 13.7 999.0 99.0 99.00
2002 01 04 10 317 4.0 5.3 2.79 12.50 8.71 999 1021.5 13.6 13.7 999.0 99.0 99.00
2002 01 04 11 312 4.0 5.0 2.84 14.29 8.95 999 1021.3 13.5 13.7 999.0 99.0 99.00
2002 01 04 12 300 3.9 5.1 3.19 14.29 9.69 999 1021.0 13.4 13.6 999.0 99.0 99.00
2002 01 04 13 300 5.2 6.4 2.86 14.29 9.16 999 1021.1 13.4 13.6 999.0 99.0 99.00
2002 01 04 14 314 4.5 5.5 2.89 14.29 9.29 999 1021.5 13.4 13.6 999.0 99.0 99.00
2002 01 04 15 333 4.0 4.9 2.71 14.29 9.05 999 1022.3 13.4 13.7 999.0 99.0 99.00
2002 01 04 16 14 2.6 3.4 2.68 12.50 9.60 999 1022.3 13.5 13.6 999.0 99.0 99.00
2002 01 04 17 321 2.5 3.3 2.46 12.50 9.36 999 1024.0 13.7 13.6 999.0 99.0 99.00
2002 01 04 18 312 3.8 4.6 2.40 12.50 9.20 999 1024.7 13.8 13.7 999.0 99.0 99.00
2002 01 04 19 328 3.7 4.6 2.75 12.50 9.81 999 1024.6 13.7 13.8 999.0 99.0 99.00
2002 01 04 20 354 2.7 3.5 2.73 12.50 9.79 999 1023.8 13.6 14.0 999.0 99.0 99.00
2002 01 04 21 355 2.6 3.1 2.65 12.50 9.55 999 1023.1 13.6 14.2 999.0 99.0 99.00
2002 01 04 22 298 2.5 3.7 2.62 12.50 9.44 999 1023.1 13.7 14.3 999.0 99.0 99.00
2002 01 04 23 340 1.5 2.1 2.69 12.50 9.42 999 1023.0 13.7 14.3 999.0 99.0 99.00
2002 01 05 00 6 2.1 3.3 2.58 12.50 9.32 999 1023.3 13.8 14.2 999.0 99.0 99.00
2002 01 05 01 326 1.8 2.6 2.06 12.50 8.62 999 1023.7 13.3 14.3 999.0 99.0 99.00
2002 01 05 02 332 1.2 2.6 2.28 12.50 8.98 999 1024.3 13.3 14.2 999.0 99.0 99.00
2002 01 05 03 284 1.0 2.0 2.38 12.50 9.33 999 1024.0 13.1 14.1 999.0 99.0 99.00
2002 01 05 04 286 1.5 2.2 1.93 12.50 8.75 999 1024.4 13.1 14.0 999.0 99.0 99.00
2002 01 05 05 272 2.5 3.2 2.38 12.50 9.48 999 1025.1 13.1 14.0 999.0 99.0 99.00
2002 01 05 06 266 4.7 5.8 2.09 11.11 9.12 999 1025.8 13.1 13.9 999.0 99.0 99.00
2002 01 05 07 303 5.2 6.2 1.94 12.50 9.00 999 1026.1 13.2 13.9 999.0 99.0 99.00
2002 01 05 08 331 5.9 7.0 1.91 12.50 8.56 999 1026.0 11.6 14.0 999.0 99.0 99.00
2002 01 05 09 349 5.5 6.9 1.88 12.50 8.40 999 1026.3 11.4 14.1 999.0 99.0 99.00
2002 01 05 10 2 4.0 4.8 1.76 12.50 8.35 999 1026.1 12.2 14.1 999.0 99.0 99.00
2002 01 05 11 13 3.1 3.7 1.89 14.29 8.58 999 1026.0 12.8 14.2 999.0 99.0 99.00
2002 01 05 12 36 2.4 3.0 1.68 12.50 7.95 999 1025.8 13.1 14.1 999.0 99.0 99.00
2002 01 05 13 58 1.4 2.2 1.76 11.11 8.54 999 1025.7 12.9 14.0 999.0 99.0 99.00
2002 01 05 14 151 1.0 1.7 1.81 12.50 8.57 999 1026.0 13.1 14.0 999.0 99.0 99.00
2002 01 05 15 162 2.4 2.7 1.70 12.50 8.51 999 1026.1 12.9 14.0 999.0 99.0 99.00
2002 01 05 16 183 1.9 2.4 1.57 11.11 8.58 999 1026.4 13.1 14.0 999.0 99.0 99.00
2002 01 05 17 257 3.1 3.9 1.57 12.50 8.96 999 1027.7 13.5 13.9 999.0 99.0 99.00
2002 01 05 18 301 6.7 7.8 1.38 12.50 8.78 999 1029.0 13.5 14.0 999.0 99.0 99.00
2002 01 05 19 321 4.7 5.7 1.54 12.50 8.56 999 1028.3 13.6 14.0 999.0 99.0 99.00
2002 01 05 20 337 4.8 5.7 1.43 11.11 8.02 999 1027.6 13.6 14.1 999.0 99.0 99.00
2002 01 05 21 337 3.9 4.7 1.41 12.50 8.03 999 1026.8 13.8 14.1 999.0 99.0 99.00
2002 01 05 22 335 4.3 5.2 1.36 12.50 7.97 999 1027.0 14.0 14.2 999.0 99.0 99.00
2002 01 05 23 339 3.7 4.1 1.44 11.11 8.04 999 1026.8 14.1 14.3 999.0 99.0 99.00
2002 01 06 00 350 2.1 2.6 1.39 12.50 8.28 999 1026.1 14.3 14.2 999.0 99.0 99.00
2002 01 06 01 337 2.1 2.4 1.37 12.50 8.56 999 1026.6 13.9 14.2 999.0 99.0 99.00
2002 01 06 02 360 1.0 1.3 1.28 12.50 8.32 999 1026.4 13.5 14.2 999.0 99.0 99.00
2002 01 06 03 297 3.3 3.9 1.43 12.50 9.22 999 1027.0 13.5 14.1 999.0 99.0 99.00
2002 01 06 04 286 1.9 2.3 1.29 14.29 9.43 999 1026.4 13.3 14.1 999.0 99.0 99.00
2002 01 06 05 282 3.6 4.5 1.36 12.50 9.52 999 1027.1 13.4 14.1 999.0 99.0 99.00
2002 01 06 06 314 4.1 4.7 1.32 12.50 9.96 999 1027.9 13.3 14.1 999.0 99.0 99.00
2002 01 06 07 317 2.7 3.2 1.34 12.50 9.84 999 1027.2 12.9 14.1 999.0 99.0 99.00
2002 01 06 08 311 3.0 3.6 1.48 16.67 10.63 999 1026.6 13.1 14.1 999.0 99.0 99.00
2002 01 06 09 294 4.1 4.9 1.51 12.50 10.52 999 1026.2 13.3 14.1 999.0 99.0 99.00
2002 01 06 10 308 4.0 4.7 1.56 14.29 11.10 999 1026.0 13.3 14.1 999.0 99.0 99.00
2002 01 06 11 319 3.6 4.3 1.49 14.29 10.47 999 1025.8 13.3 14.1 999.0 99.0 99.00
2002 01 06 12 336 2.8 3.3 1.68 12.50 10.82 999 1025.2 13.2 14.1 999.0 99.0 99.00
2002 01 06 13 346 2.4 2.9 1.58 14.29 11.19 999 1025.1 13.3 14.0 999.0 99.0 99.00
2002 01 06 14 310 2.9 3.6 1.63 14.29 11.24 999 1026.0 13.3 14.1 999.0 99.0 99.00
2002 01 06 15 284 3.1 4.3 1.66 12.50 11.13 999 1026.3 13.3 14.0 999.0 99.0 99.00
2002 01 06 16 292 3.9 5.1 1.73 14.29 11.46 999 1026.9 13.5 14.0 999.0 99.0 99.00
2002 01 06 17 309 3.0 4.0 1.76 14.29 11.28 999 1027.6 13.6 14.0 999.0 99.0 99.00
2002 01 06 18 273 2.2 3.0 1.72 12.50 11.11 999 1027.5 13.9 14.0 999.0 99.0 99.00
2002 01 06 19 304 4.1 5.1 1.91 14.29 11.52 999 1027.6 13.9 14.1 999.0 99.0 99.00
2002 01 06 20 306 4.7 5.6 1.69 12.50 11.23 999 1026.8 13.9 14.1 999.0 99.0 99.00
2002 01 06 21 306 4.5 5.8 1.92 12.50 11.26 999 1025.6 13.9 14.2 999.0 99.0 99.00
2002 01 06 22 310 6.1 7.4 1.89 12.50 10.71 999 1025.8 14.0 14.2 999.0 99.0 99.00
2002 01 06 23 308 5.5 6.8 1.74 12.50 9.47 999 1025.5 14.2 14.1 999.0 99.0 99.00
2002 01 07 00 307 4.2 5.0 2.11 12.50 10.27 999 1025.0 14.2 14.2 999.0 99.0 99.00
2002 01 07 01 299 3.3 4.1 1.93 12.50 10.16 999 1024.8 14.0 14.2 999.0 99.0 99.00
2002 01 07 02 305 4.2 5.3 1.87 12.50 9.82 999 1025.2 14.0 14.2 999.0 99.0 99.00
2002 01 07 03 307 5.4 6.5 2.16 12.50 10.43 999 1025.6 13.9 14.1 999.0 99.0 99.00
2002 01 07 04 309 5.7 6.9 2.14 12.50 9.84 999 1025.9 13.8 14.1 999.0 99.0 99.00
2002 01 07 05 307 5.5 7.2 1.98 12.50 9.30 999 1025.9 13.7 14.1 999.0 99.0 99.00
2002 01 07 06 319 7.3 8.7 2.28 12.50 9.35 999 1026.3 13.6 14.1 999.0 99.0 99.00
2002 01 07 07 314 6.1 7.3 2.26 12.50 8.78 999 1026.3 13.2 14.1 999.0 99.0 99.00
2002 01 07 08 313 6.1 7.3 2.14 12.50 8.51 999 1025.9 13.0 14.1 999.0 99.0 99.00
2002 01 07 09 316 4.8 5.7 2.19 12.50 8.92 999 1025.5 13.0 14.1 999.0 99.0 99.00
2002 01 07 10 314 4.3 5.0 2.28 12.50 9.17 999 1025.3 12.9 14.1 999.0 99.0 99.00
2002 01 07 11 305 5.3 6.4 2.22 12.50 9.71 999 1025.1 13.0 14.0 999.0 99.0 99.00
2002 01 07 12 306 5.0 6.4 2.49 14.29 10.04 999 1024.5 12.9 14.1 999.0 99.0 99.00
2002 01 07 13 302 5.1 6.4 2.62 14.29 9.91 999 1024.1 13.0 14.0 999.0 99.0 99.00
2002 01 07 14 314 5.4 6.7 2.32 14.29 9.43 999 1024.0 11.6 14.0 999.0 99.0 99.00
2002 01 07 15 291 5.5 6.6 2.48 14.29 9.73 999 1024.4 12.1 14.0 999.0 99.0 99.00
2002 01 07 16 311 4.8 6.3 2.44 14.29 9.62 999 1024.8 11.1 14.0 999.0 99.0 99.00
