YY MM DD hh mm WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS TIDE
yr mo dy hr mn degT m/s m/s m sec sec degT hPa degC degC degC mi ft
2011 12 31 23 50 67 1.5 2.8 2.48 12.90 8.76 293 1016.3 10.9 14.1 999.0 99.0 99.00
2012 01 01 00 50 97 0.8 2.2 2.72 16.00 8.96 285 1016.7 10.3 14.0 999.0 99.0 99.00
2012 01 01 01 50 67 1.0 2.7 2.62 13.79 8.43 277 1017.0 10.1 13.9 999.0 99.0 99.00
2012 01 01 02 50 57 1.8 3.3 2.48 14.81 8.79 288 1017.5 9.9 13.9 999.0 99.0 99.00
2012 01 01 03 50 83 2.7 4.0 2.73 14.81 8.98 282 1017.9 9.9 13.7 999.0 99.0 99.00
2012 01 01 04 50 78 3.6 5.1 2.57 14.81 9.09 278 1018.1 9.8 13.7 999.0 99.0 99.00
2012 01 01 05 50 83 3.2 4.9 2.40 12.90 8.58 268 1018.7 10.1 13.6 999.0 99.0 99.00
2012 01 01 06 50 121 2.4 4.3 2.67 13.79 9.62 279 1019.2 10.6 13.5 999.0 99.0 99.00
2012 01 01 07 50 162 3.6 5.2 2.45 13.79 9.41 287 1019.0 10.9 13.4 999.0 99.0 99.00
2012 01 01 08 50 175 2.1 3.6 2.54 12.12 9.41 294 1019.0 10.9 13.4 999.0 99.0 99.00
2012 01 01 09 50 164 1.7 3.2 2.53 13.79 9.77 285 1019.0 10.9 13.4 999.0 99.0 99.00
2012 01 01 10 50 153 2.7 4.3 2.37 14.81 9.30 296 1019.0 10.8 13.4 999.0 99.0 99.00
2012 01 01 11 50 164 2.1 4.1 2.44 13.79 9.53 281 1019.3 10.7 13.4 999.0 99.0 99.00
2012 01 01 12 50 120 1.5 3.2 2.53 13.79 9.55 284 1019.1 10.5 13.4 999.0 99.0 99.00
2012 01 01 13 50 130 2.2 3.2 2.37 12.90 9.66 294 1019.5 10.1 13.4 999.0 99.0 99.00
2012 01 01 14 50 138 2.5 4.2 2.21 12.90 9.35 282 1020.4 10.3 13.4 999.0 99.0 99.00
2012 01 01 15 50 144 3.2 4.7 2.20 12.90 9.37 278 1021.4 10.1 13.4 999.0 99.0 99.00
2012 01 01 16 50 159 3.2 4.3 2.21 12.12 9.77 293 1022.1 10.6 13.4 999.0 99.0 99.00
2012 01 01 17 50 139 3.0 5.4 2.22 14.81 9.71 295 1022.4 10.8 13.4 999.0 99.0 99.00
2012 01 01 18 50 163 2.1 4.2 1.88 13.79 9.37 283 1022.3 10.9 13.4 999.0 99.0 99.00
