YY MM DD hh WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS
1999 05 27 00 287 5.9 7.2 1.79 12.50 7.82 999 1016.6 12.5 13.1 11.0 99.0
1999 05 27 01 297 6.6 7.9 1.83 11.11 7.76 999 1016.1 12.5 13.1 10.9 99.0
1999 05 27 02 297 6.2 7.5 1.96 12.50 7.64 999 1016.2 12.6 13.1 10.9 99.0
1999 05 27 03 304 6.4 8.2 2.15 11.11 7.93 999 1016.7 12.7 13.1 10.6 99.0
1999 05 27 04 294 5.8 7.3 2.27 11.11 8.04 999 1017.0 12.6 13.0 10.4 99.0
1999 05 27 05 295 5.9 8.2 2.12 11.11 7.83 999 1017.6 12.5 13.0 10.3 99.0
1999 05 27 06 310 5.3 6.9 2.27 11.11 7.77 999 1018.2 12.3 13.0 10.5 99.0
1999 05 27 07 302 5.5 8.1 2.13 11.11 7.73 999 1018.5 12.0 13.0 10.3 99.0
1999 05 27 08 292 4.9 6.1 2.38 11.11 8.23 999 1018.4 12.1 13.0 10.4 99.0
1999 05 27 09 293 5.4 7.3 2.07 11.11 7.83 999 1018.0 12.0 13.0 10.5 99.0
1999 05 27 10 301 4.7 6.6 2.01 11.11 7.98 999 1017.8 12.0 13.0 10.3 99.0
1999 05 27 11 303 4.5 6.3 1.77 11.11 7.50 999 1017.5 12.0 13.0 10.1 99.0
1999 05 27 12 288 4.7 6.3 1.71 10.00 7.51 999 1017.5 12.0 13.0 10.1 99.0
1999 05 27 13 318 5.9 7.9 1.60 11.11 7.51 999 1017.6 11.8 13.0 10.1 99.0
1999 05 27 14 306 4.5 6.4 1.52 14.29 7.05 999 1017.7 11.8 13.0 9.9 99.0
1999 05 27 15 324 5.1 6.1 1.58 11.11 7.21 999 1017.8 11.9 13.0 9.9 99.0
1999 05 27 16 314 4.4 6.3 1.72 11.11 7.51 999 1018.0 11.9 13.0 10.1 99.0
1999 05 27 17 296 4.6 5.7 1.68 11.11 7.24 999 1018.0 12.1 13.1 10.4 99.0
1999 05 27 18 287 4.6 5.8 1.66 11.11 6.94 999 1017.9 12.3 13.1 10.6 99.0
1999 05 27 19 294 5.9 6.9 1.62 11.11 7.07 999 1017.6 12.4 13.1 10.9 99.0
1999 05 27 20 294 6.2 7.5 1.74 11.11 6.79 999 1017.3 12.4 13.2 11.0 99.0
1999 05 27 21 295 6.1 7.2 1.61 14.29 6.45 999 1016.8 12.6 13.2 11.0 99.0
1999 05 27 22 294 6.4 7.5 1.64 14.29 6.35 999 1016.4 12.6 13.2 11.0 99.0
1999 05 27 23 294 6.2 7.4 1.51 14.29 6.03 999 1016.0 12.7 13.2 10.8 99.0
1999 05 28 00 303 7.0 8.4 1.50 14.29 5.85 999 1015.4 12.6 13.3 10.7 99.0
1999 05 28 01 298 7.5 9.3 1.49 14.29 5.98 999 1014.9 12.4 13.2 10.6 99.0
1999 05 28 02 301 7.9 9.8 1.42 14.29 5.35 999 1015.1 12.4 13.2 10.6 99.0
1999 05 28 03 304 8.0 10.0 1.53 14.29 5.66 999 1015.4 12.4 13.1 10.5 99.0
1999 05 28 04 304 7.2 9.3 1.56 14.29 5.60 999 1015.8 12.4 13.1 10.6 99.0
1999 05 28 05 303 8.5 10.1 1.78 14.29 5.64 999 1016.1 12.2 13.1 10.0 99.0
1999 05 28 06 315 8.3 9.9 1.73 5.26 5.52 999 1016.2 12.1 13.1 10.1 99.0
1999 05 28 07 304 7.2 8.6 1.73 5.56 5.41 999 1016.6 12.0 13.1 10.1 99.0
1999 05 28 08 299 7.5 8.9 1.91 11.11 5.83 999 1016.5 12.0 13.1 10.1 99.0
1999 05 28 09 297 7.6 8.6 1.86 11.11 5.74 999 1016.3 11.9 13.0 10.0 99.0
1999 05 28 10 306 7.6 9.6 1.88 5.88 5.70 999 1015.8 11.8 13.0 9.8 99.0
1999 05 28 11 303 8.8 10.7 1.84 6.67 5.42 999 1016.0 11.8 13.0 9.8 99.0
1999 05 28 12 308 7.8 9.9 1.91 6.25 5.70 999 1015.5 11.8 12.9 9.6 99.0
1999 05 28 13 308 6.9 8.3 1.75 6.67 5.57 999 1015.8 11.9 12.9 10.0 99.0
1999 05 28 14 309 6.3 7.4 1.65 6.25 5.50 999 1015.8 12.0 12.8 10.0 99.0
1999 05 28 15 302 7.7 10.7 1.66 6.67 5.55 999 1016.0 12.0 12.9 10.1 99.0
1999 05 28 16 307 7.4 9.2 1.84 7.14 5.89 999 1016.2 11.9 12.9 9.9 99.0
1999 05 28 17 305 8.1 9.8 1.83 6.25 5.68 999 1016.4 12.1 12.9 9.8 99.0
1999 05 28 18 296 8.2 9.5 1.91 7.14 5.68 999 1016.5 12.2 12.9 9.8 99.0
1999 05 28 19 305 7.8 9.5 1.90 7.14 5.64 999 1016.7 12.4 12.9 9.9 99.0
1999 05 28 20 306 7.1 8.3 2.00 6.67 5.69 999 1016.9 12.4 12.9 9.9 99.0
1999 05 28 21 301 8.6 10.0 1.91 7.14 5.60 999 1016.1 12.4 12.9 9.9 99.0
1999 05 28 22 300 8.2 9.6 2.01 6.67 5.54 999 1015.7 12.4 12.9 9.7 99.0
1999 05 28 23 305 8.1 9.9 1.87 9.09 5.50 999 1015.5 12.5 13.0 9.9 99.0
1999 05 29 00 298 9.3 11.3 1.82 7.69 5.24 999 1015.2 12.5 13.0 9.9 99.0
1999 05 29 01 300 9.6 12.6 1.75 5.88 5.17 999 1014.8 12.5 13.0 9.8 99.0
1999 05 29 02 298 9.5 11.5 1.98 7.14 5.32 999 1014.9 12.4 13.0 9.9 99.0
