YY MM DD hh mm WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS TIDE
yr mo dy hr mn degT m/s m/s m sec sec degT hPa degC degC degC mi ft
2012 12 31 23 50 323 7.8 9.7 2.36 21.05 7.13 271 1023.5 13.1 15.9 999.0 99.0 99.00
2013 01 01 00 50 333 6.9 8.3 2.18 19.05 6.57 318 1023.9 12.8 15.8 999.0 99.0 99.00
2013 01 01 01 50 319 6.7 8.3 2.09 19.05 6.67 303 1024.2 12.6 15.8 999.0 99.0 99.00
2013 01 01 02 50 321 6.6 8.1 2.07 19.05 7.08 291 1024.5 12.7 15.7 999.0 99.0 99.00
2013 01 01 03 50 322 4.6 5.8 2.25 19.05 7.54 288 1024.9 12.7 15.7 999.0 99.0 99.00
2013 01 01 04 50 305 4.1 5.8 2.43 19.05 7.88 310 1024.6 12.6 15.7 999.0 99.0 99.00
2013 01 01 05 50 304 4.1 6.1 2.24 19.05 7.72 315 1024.8 12.7 15.7 999.0 99.0 99.00
2013 01 01 06 50 307 5.7 7.5 2.10 19.05 7.56 303 1024.7 12.7 15.7 999.0 99.0 99.00
2013 01 01 07 50 325 5.5 7.1 2.40 19.05 8.16 308 1024.6 12.8 15.7 999.0 99.0 99.00
2013 01 01 08 50 328 5.2 7.2 2.78 19.05 9.05 307 1024.3 12.8 15.6 999.0 99.0 99.00
2013 01 01 09 50 327 6.7 8.6 2.74 19.05 9.44 311 1024.1 12.7 15.6 999.0 99.0 99.00
2013 01 01 10 50 340 5.1 6.7 2.49 17.39 8.44 304 1024.1 12.9 15.6 999.0 99.0 99.00
2013 01 01 11 50 356 5.1 6.6 2.59 17.39 9.52 298 1023.2 12.8 15.5 999.0 99.0 99.00
2013 01 01 12 50 6 2.8 4.0 2.94 17.39 10.39 295 1022.9 12.8 15.5 999.0 99.0 99.00
2013 01 01 13 50 350 1.1 2.0 2.79 17.39 10.10 287 1023.0 12.7 15.2 999.0 99.0 99.00
2013 01 01 14 50 72 1.4 2.6 2.50 17.39 10.36 295 1023.3 12.8 14.9 999.0 99.0 99.00
2013 01 01 15 50 102 0.9 1.9 2.28 17.39 10.43 297 1023.3 13.2 14.5 999.0 99.0 99.00
2013 01 01 16 50 16 1.5 2.6 2.11 17.39 9.89 287 1023.7 13.0 14.5 999.0 99.0 99.00
2013 01 01 17 50 16 2.5 3.2 2.29 17.39 10.45 289 1023.6 13.0 14.7 999.0 99.0 99.00
2013 01 01 18 50 9 3.6 4.7 2.21 17.39 10.45 295 1023.3 13.1 14.8 999.0 99.0 99.00
2013 01 01 19 50 13 2.2 3.0 2.41 17.39 10.96 310 1022.1 13.1 15.0 999.0 99.0 99.00
2013 01 01 20 50 349 3.1 4.4 2.14 17.39 10.41 306 1021.1 13.1 15.0 999.0 99.0 99.00
2013 01 01 21 50 40 3.4 4.3 2.23 17.39 10.83 295 1020.3 13.3 15.1 999.0 99.0 99.00
2013 01 01 22 50 43 2.2 2.9 2.17 17.39 11.46 296 1020.4 13.4 15.0 999.0 99.0 99.00
2013 01 01 23 50 49 2.3 3.0 2.36 16.00 12.39 290 1020.1 13.5 15.3 999.0 99.0 99.00
2013 01 02 00 50 29 1.1 1.8 2.37 17.39 12.28 310 1020.0 13.4 15.5 999.0 99.0 99.00
2013 01 02 01 50 27 1.8 2.5 2.05 17.39 11.70 292 1020.2 13.4 15.6 999.0 99.0 99.00
2013 01 02 02 50 41 4.6 5.5 2.90 17.39 13.64 306 1020.4 13.6 15.6 999.0 99.0 99.00
2013 01 02 03 50 37 4.1 5.2 2.53 16.00 12.94 312 1021.1 13.5 15.6 999.0 99.0 99.00
2013 01 02 04 50 33 4.5 5.6 2.24 17.39 12.72 320 1021.0 13.4 15.6 999.0 99.0 99.00
2013 01 02 05 50 28 3.9 5.6 2.36 16.00 12.59 308 1021.2 13.6 15.5 999.0 99.0 99.00
2013 01 02 06 50 23 3.7 5.3 2.53 14.81 12.40 305 1021.1 13.5 15.5 999.0 99.0 99.00
2013 01 02 07 50 29 4.7 6.6 2.84 16.00 13.17 310 1020.6 13.6 15.5 999.0 99.0 99.00
2013 01 02 08 50 35 6.0 7.4 2.39 16.00 12.20 309 1020.1 13.6 15.5 999.0 99.0 99.00
2013 01 02 09 50 36 5.7 6.7 2.26 16.00 10.96 307 1019.7 13.7 15.5 999.0 99.0 99.00
2013 01 02 10 50 49 4.4 5.4 2.48 16.00 11.70 301 1019.5 13.8 15.5 999.0 99.0 99.00
2013 01 02 11 50 50 4.4 5.9 2.13 14.81 11.28 298 1019.0 14.1 15.5 999.0 99.0 99.00
2013 01 02 12 50 54 3.6 4.6 2.55 16.00 12.46 296 1018.8 14.1 15.4 999.0 99.0 99.00
2013 01 02 13 50 51 3.7 4.8 2.23 16.00 12.08 296 1018.8 14.0 15.3 999.0 99.0 99.00
2013 01 02 14 50 27 4.0 5.2 2.11 14.81 11.54 298 1019.3 14.1 15.3 999.0 99.0 99.00
2013 01 02 15 50 360 2.6 3.4 2.43 16.00 12.53 298 1019.8 14.2 15.0 999.0 99.0 99.00
2013 01 02 16 50 352 2.8 3.6 2.35 14.81 12.16 299 1020.0 14.2 15.0 999.0 99.0 99.00
2013 01 02 17 50 10 3.0 3.9 2.17 14.81 11.38 297 1020.3 14.2 15.1 999.0 99.0 99.00
2013 01 02 18 50 45 3.3 4.4 1.90 14.81 10.47 293 1020.0 14.4 15.3 999.0 99.0 99.00
2013 01 02 19 50 10 2.6 3.4 2.32 14.81 11.52 295 1019.8 14.6 15.5 999.0 99.0 99.00
2013 01 02 20 50 348 3.0 3.8 2.02 14.81 10.85 294 1019.4 14.8 15.6 999.0 99.0 99.00
2013 01 02 21 50 347 5.7 7.1 2.16 14.81 11.19 301 1019.0 14.4 15.7 999.0 99.0 99.00
2013 01 02 22 50 354 4.2 5.2 2.04 12.90 10.18 298 1019.1 14.5 15.7 999.0 99.0 99.00
2013 01 02 23 50 321 3.0 4.1 2.18 14.81 10.55 287 1019.0 14.9 15.8 999.0 99.0 99.00
2013 01 03 00 50 348 3.4 4.3 2.22 16.00 10.55 294 1019.2 14.6 15.7 999.0 99.0 99.00
2013 01 03 01 50 332 2.8 3.4 2.12 14.81 10.66 298 1019.2 14.7 15.6 999.0 99.0 99.00
2013 01 03 02 50 352 3.9 4.8 1.87 16.00 10.23 295 1019.2 14.4 15.6 999.0 99.0 99.00
2013 01 03 03 50 356 4.0 4.8 1.67 14.81 9.67 300 1019.3 14.6 15.7 999.0 99.0 99.00
2013 01 03 04 50 331 4.9 5.9 1.77 12.90 9.78 301 1019.7 14.5 15.6 999.0 99.0 99.00
2013 01 03 05 50 323 5.3 6.6 1.89 16.00 10.32 297 1019.7 14.2 15.6 999.0 99.0 99.00
2013 01 03 06 50 320 6.8 8.1 1.98 16.00 9.71 293 1019.3 14.1 15.6 999.0 99.0 99.00
2013 01 03 07 50 326 7.8 9.6 1.70 16.00 8.12 283 1019.0 14.4 15.5 999.0 99.0 99.00
