YY MM DD hh mm WDIR WSPD GST WVHT DPD APD MWD PRES ATMP WTMP DEWP VIS TIDE
yr mo dy hr mn degT m/s m/s m sec sec degT hPa degC degC degC mi ft
2015 12 31 23 50 335 3.7 4.8 1.47 12.90 7.27 297 1018.4 14.2 15.7 999.0 99.0 99.00
2016 01 01 00 50 345 3.8 4.8 1.58 12.90 7.34 306 1018.6 14.1 15.6 999.0 99.0 99.00
2016 01 01 01 50 346 4.1 5.1 1.43 12.90 7.28 292 1018.8 14.3 15.5 999.0 99.0 99.00
2016 01 01 02 50 5 3.0 3.7 1.34 12.12 7.26 293 1018.8 14.3 15.4 999.0 99.0 99.00
2016 01 01 03 50 349 3.8 4.6 1.39 12.12 7.88 312 1018.8 14.2 15.4 999.0 99.0 99.00
2016 01 01 04 50 355 5.7 6.7 1.38 12.12 7.82 315 1018.8 14.4 15.3 999.0 99.0 99.00
2016 01 01 05 50 350 6.7 7.9 1.34 10.81 7.14 316 1018.8 14.0 15.3 999.0 99.0 99.00
2016 01 01 06 50 343 6.4 7.5 1.35 12.12 6.59 318 1018.6 13.8 15.3 999.0 99.0 99.00
2016 01 01 07 50 342 7.1 8.3 1.39 11.43 6.38 313 1018.1 13.9 15.3 999.0 99.0 99.00
2016 01 01 08 50 354 7.8 9.2 1.54 11.43 6.47 327 1017.6 14.6 15.3 999.0 99.0 99.00
2016 01 01 09 50 344 6.8 8.4 1.51 11.43 5.82 311 1017.2 14.3 15.3 999.0 99.0 99.00
2016 01 01 10 50 348 5.5 6.7 1.41 11.43 5.89 321 1017.2 14.3 15.3 999.0 99.0 99.00
2016 01 01 11 50 349 4.6 5.5 1.52 11.43 6.80 319 1017.0 14.3 15.3 999.0 99.0 99.00
2016 01 01 12 50 4 3.5 4.3 1.35 14.81 6.62 250 1017.2 14.4 15.3 999.0 99.0 99.00
2016 01 01 13 50 14 1.5 2.4 1.45 11.43 7.49 299 1017.9 14.4 15.2 999.0 99.0 99.00
2016 01 01 14 50 334 0.9 1.4 1.37 14.81 7.24 319 1018.6 14.3 15.2 999.0 99.0 99.00
2016 01 01 15 50 244 0.8 1.3 1.29 12.12 7.28 279 1019.2 14.8 15.2 999.0 99.0 99.00
2016 01 01 16 50 254 2.7 3.3 1.40 14.81 7.94 280 1019.6 14.6 15.2 999.0 99.0 99.00
2016 01 01 17 50 259 2.9 3.7 1.12 14.81 7.06 308 1019.9 14.5 15.3 999.0 99.0 99.00
2016 01 01 18 50 291 6.1 7.3 1.23 14.81 7.33 308 1019.9 14.5 15.3 999.0 99.0 99.00
2016 01 01 19 50 300 5.6 6.6 1.18 13.79 6.38 267 1019.2 14.3 15.3 999.0 99.0 99.00
2016 01 01 20 50 307 5.9 6.9 1.22 14.81 5.80 296 1018.6 14.2 15.4 999.0 99.0 99.00
2016 01 01 21 50 314 5.5 6.7 1.28 13.79 5.99 299 1018.3 14.2 15.5 999.0 99.0 99.00
2016 01 01 22 50 327 3.8 4.9 1.25 14.81 6.12 306 1018.0 14.5 15.5 999.0 99.0 99.00
2016 01 01 23 50 30 2.1 2.8 1.23 14.81 6.35 292 1018.0 14.6 15.5 999.0 99.0 99.00
2016 01 02 00 50 68 1.5 2.1 1.26 13.79 6.56 290 1018.3 14.6 15.5 999.0 99.0 99.00
2016 01 02 01 50 104 1.2 2.4 1.22 14.81 6.84 291 1018.5 14.3 15.4 999.0 99.0 99.00
2016 01 02 02 50 134 1.5 2.2 1.36 12.90 7.64 274 1018.7 14.2 15.3 999.0 99.0 99.00
2016 01 02 03 50 161 1.5 2.6 1.65 17.39 8.98 310 1018.8 14.3 15.3 999.0 99.0 99.00
